drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"80981","90","EXTRACORPOREAL","ADDED","02324393"
"80981","92","0-UNASSIGNED","REMOVED","02324393"
"11376","92","0-UNASSIGNED","REMOVED","00788139"
"11376","90","EXTRACORPOREAL","ADDED","00788139"
"86313","90","EXTRACORPOREAL","ADDED","02377411"
"87250","92","0-UNASSIGNED","REMOVED","02386925"
"86313","92","0-UNASSIGNED","REMOVED","02377411"
"87250","90","EXTRACORPOREAL","ADDED","02386925"
"92892","90","EXTRACORPOREAL","ADDED","02444097"
"92893","92","0-UNASSIGNED","REMOVED","02444100"
"101888","92","0-UNASSIGNED","REMOVED","02529637"
"92893","90","EXTRACORPOREAL","ADDED","02444100"
"103962","56","ORAL","ADDED","02550849"
"101888","90","EXTRACORPOREAL","ADDED","02529637"
"95858","90","EXTRACORPOREAL","ADDED","02469731"
"95858","92","0-UNASSIGNED","REMOVED","02469731"
"92892","92","0-UNASSIGNED","REMOVED","02444097"
