tm_code,tm_formal_name,changes
8002534,ferric maltol,DELETED
8002432,phenylbutyric acid and ursodoxicoltaurine,DELETED
8002533,baloxavir,DELETED
8001977,trifluoperazine,"tm_status: ""INACTIVE"" -> ""ACTIVE""
tm_status_effective_time: ""20241026"" -> ""19751231"""
8002535,fezolinetant,DELETED
