drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"106127","56","ORAL","ADDED","02557983"
"106117","56","ORAL","ADDED","02557886"
"106070","70","TOPICAL","ADDED","02557363"
"106111","56","ORAL","ADDED","02557819"
"106126","56","ORAL","ADDED","02557975"
"106123","56","ORAL","ADDED","02557940"
"106134","70","TOPICAL","ADDED","02558041"
"106086","65","SUBCUTANEOUS","ADDED","02557541"
"106087","65","SUBCUTANEOUS","ADDED","02557568"
"93364","70","TOPICAL","ADDED","02447959"
"106095","49","INTRAVENOUS","ADDED","02557649"
"106108","56","ORAL","ADDED","02557789"
"106106","47","INTRAVESICULAR","ADDED","02557762"
"106093","56","ORAL","ADDED","02557622"
"106116","56","ORAL","ADDED","02557878"
"106066","65","SUBCUTANEOUS","ADDED","02557320"
"106101","56","ORAL","ADDED","02557711"
"106122","56","ORAL","ADDED","02557932"
"106063","56","ORAL","ADDED","02557290"
"106099","56","ORAL","ADDED","02557681"
"106084","65","SUBCUTANEOUS","ADDED","02557525"
"106033","56","ORAL","ADDED","02556960"
"106061","56","ORAL","ADDED","02557274"
"106109","56","ORAL","ADDED","02557797"
"104235","56","ORAL","ADDED","02553414"
"106097","49","INTRAVENOUS","ADDED","02557665"
"106102","56","ORAL","ADDED","02557738"
"106125","56","ORAL","ADDED","02557967"
"106104","70","TOPICAL","ADDED","02557754"
"101649","56","ORAL","ADDED","02527448"
"106083","65","SUBCUTANEOUS","ADDED","02557517"
"104308","56","ORAL","ADDED","02554216"
"106092","56","ORAL","ADDED","02557614"
"106085","65","SUBCUTANEOUS","ADDED","02557533"
"101650","56","ORAL","ADDED","02527456"
"106110","56","ORAL","ADDED","02557800"
"106076","56","ORAL","ADDED","02557444"
"106062","56","ORAL","ADDED","02557282"
"93364","92","0-UNASSIGNED","ADDED","02447959"
"106081","55","OPHTHALMIC","ADDED","02557495"
"106090","29","INHALATION","ADDED","02557592"
"106098","56","ORAL","ADDED","02557673"
"106034","56","ORAL","ADDED","02556979"
"106106","49","INTRAVENOUS","ADDED","02557762"
"106068","49","INTRAVENOUS","ADDED","02557347"
"106082","65","SUBCUTANEOUS","ADDED","02557509"
"104237","56","ORAL","ADDED","02553430"
"101651","56","ORAL","ADDED","02527464"
"106077","56","ORAL","ADDED","02557452"
"101648","56","ORAL","ADDED","02527421"
"106103","56","ORAL","ADDED","02557746"
"106032","56","ORAL","ADDED","02556952"
"104309","56","ORAL","ADDED","02554224"
"106113","93","DISINFECTANT (Domestic)","ADDED","02557835"
"104307","56","ORAL","ADDED","02554208"
"104236","56","ORAL","ADDED","02553422"
"106079","70","TOPICAL","ADDED","02557479"
"106091","56","ORAL","ADDED","02557606"
"106124","56","ORAL","ADDED","02557959"
