drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
"106033","85","TABLET","ADDED","02556960"
"106101","85","TABLET","ADDED","02557711"
"106116","5","CAPSULE","ADDED","02557878"
"101650","85","TABLET","ADDED","02527456"
"106095","56","POWDER FOR SOLUTION","ADDED","02557649"
"104308","85","TABLET","ADDED","02554216"
"106083","134","SOLUTION","ADDED","02557517"
"106108","85","TABLET","ADDED","02557789"
"106113","134","SOLUTION","ADDED","02557835"
"106093","85","TABLET","ADDED","02557622"
"104236","85","TABLET","ADDED","02553422"
"106126","85","TABLET","ADDED","02557975"
"106127","85","TABLET","ADDED","02557983"
"104235","85","TABLET","ADDED","02553414"
"106104","36","LOTION","ADDED","02557754"
"106086","134","SOLUTION","ADDED","02557541"
"106090","162","AEROSOL, METERED DOSE","ADDED","02557592"
"104309","85","TABLET","ADDED","02554224"
"106062","85","TABLET","ADDED","02557282"
"106032","85","TABLET","ADDED","02556952"
"93364","36","LOTION","ADDED","02447959"
"66737","34","LIQUID","REMOVED","02242905"
"104237","85","TABLET","ADDED","02553430"
"106092","85","TABLET","ADDED","02557614"
"106106","56","POWDER FOR SOLUTION","ADDED","02557762"
"106082","134","SOLUTION","ADDED","02557509"
"106102","85","TABLET","ADDED","02557738"
"101651","85","TABLET","ADDED","02527464"
"106077","5","CAPSULE","ADDED","02557452"
"106111","85","TABLET","ADDED","02557819"
"106066","134","SOLUTION","ADDED","02557320"
"104307","85","TABLET","ADDED","02554208"
"106034","85","TABLET","ADDED","02556979"
"106087","134","SOLUTION","ADDED","02557568"
"106124","85","TABLET","ADDED","02557959"
"106097","134","SOLUTION","ADDED","02557665"
"106061","85","TABLET","ADDED","02557274"
"106123","85","TABLET","ADDED","02557940"
"106110","85","TABLET","ADDED","02557800"
"21753","34","LIQUID","REMOVED","01931598"
"66737","134","SOLUTION","ADDED","02242905"
"106125","85","TABLET","ADDED","02557967"
"106134","36","LOTION","ADDED","02558041"
"106081","134","SOLUTION","ADDED","02557495"
"93364","133","0-UNASSIGNED","ADDED","02447959"
"106079","36","LOTION","ADDED","02557479"
"106109","85","TABLET","ADDED","02557797"
"106084","134","SOLUTION","ADDED","02557525"
"106063","85","TABLET","ADDED","02557290"
"106122","85","TABLET","ADDED","02557932"
"106091","85","TABLET","ADDED","02557606"
"106068","134","SOLUTION","ADDED","02557347"
"106117","5","CAPSULE","ADDED","02557886"
"106085","134","SOLUTION","ADDED","02557533"
"106098","85","TABLET","ADDED","02557673"
"21753","134","SOLUTION","ADDED","01931598"
"101649","85","TABLET","ADDED","02527448"
"106070","9","CREAM","ADDED","02557363"
"106076","5","CAPSULE","ADDED","02557444"
"101648","85","TABLET","ADDED","02527421"
"106103","85","TABLET","ADDED","02557746"
"106099","85","TABLET","ADDED","02557681"
