drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"868","active","active","00074454","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"6754","active","active","00594644","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"6755","active","active","00594652","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"7394","active","active","00704431","AMDIPHARM LIMITED","BAYER INC"
"13452","active","active","01933531","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"13625","active","active","01933558","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"29542","active","active","02106272","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"29543","active","active","02106280","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"42388","active","active","02046040","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"68562","active","active","02244577","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"73002","active","active","02248645","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"75304","active","active","02267632","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"75412","active","active","02268701","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"84091","active","active","02355701","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"92825","active","active","02443562","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"96076","active","active","02471604","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"11880","dormant","dormant","00704423","AMDIPHARM LIMITED","BAYER INC"
"62021","dormant","dormant","02238593","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"62022","dormant","dormant","02238594","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"62023","dormant","dormant","02238595","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"87392","approved","approved","02388383","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"87393","approved","approved","02388391","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"87394","approved","approved","02388405","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"87395","approved","approved","02388413","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"95066","approved","approved","02462818","BESINS HEALTHCARE SA","BESINS HEALTHCARE S A"
"101046","approved","approved","02521237","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"103826","approved","approved","02549417","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
