tm_code,tm_formal_name,changes
8002266,risankizumab,"tm_status_effective_time: ""20190513"" -> ""20220601"""
8001232,spiramycin,"tm_status_effective_time: ""20240620"" -> ""20230620"""
8002070,pirfenidone,"tm_status_effective_time: ""20130108"" -> ""20170726"""
