drug_code,mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
415,00027243,DIHYDROERGOTAMINE (DHE) (mésylate de dihydroergotamine 1 mg par 1 mL solution injectable ampoule) STERIMAX INC,mésylate de dihydroergotamine 1 mg par 1 mL solution injectable ampoule,dihydroergotamine,"mp_fr_description: ""DIHYDROERGOTAMINE (DHE),̲ ̲1̲M̲G̲/̲M̲L̲ (mésylate de dihydroergotamine 1 mg par 1 mL solution injectable ampoule) STERIMAX INC"" -> ""DIHYDROERGOTAMINE (DHE) (mésylate de dihydroergotamine 1 mg par 1 mL solution injectable ampoule) STERIMAX INC"""
27547,02061287,"CHILDREN'S BENADRYL ALLERGY CHEWABLES (chlorhydrate de diphenhydramine 12,5 mg comprimé à croquer) KENVUE CANADA INC.","chlorhydrate de diphenhydramine 12,5 mg comprimé à croquer",diphenhydramine,"mp_fr_description: ""CHILDREN'S BENADRYL ALLERGY CHEWABLES (chlorhydrate de diphenhydramine 12,5 mg comprimé à croquer) M̲C̲N̲E̲I̲L̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ̲D̲I̲V̲I̲S̲I̲O̲N̲ ̲O̲F̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""CHILDREN'S BENADRYL ALLERGY CHEWABLES (chlorhydrate de diphenhydramine 12,5 mg comprimé à croquer) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
46803,01900978,REACTINE 20 MG TABLET (chlorhydrate de cétirizine 20 mg comprimé oral) KENVUE CANADA INC.,chlorhydrate de cétirizine 20 mg comprimé oral,cétirizine,"mp_fr_description: ""REACTINE 20 MG TABLET (chlorhydrate de cétirizine 20 mg comprimé oral) M̲C̲N̲E̲I̲L̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ̲D̲I̲V̲I̲S̲I̲O̲N̲ ̲O̲F̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""REACTINE 20 MG TABLET (chlorhydrate de cétirizine 20 mg comprimé oral) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
62594,02239138,EXTRA STRENGTH BENADRYL ALLERGY NIGHTTIME (chlorhydrate de diphenhydramine 50 mg comprimé oral) KENVUE CANADA INC.,chlorhydrate de diphenhydramine 50 mg comprimé oral,diphenhydramine,"mp_fr_description: ""EXTRA STRENGTH BENADRYL ALLERGY NIGHTTIME (chlorhydrate de diphenhydramine 50 mg comprimé oral) M̲C̲N̲E̲I̲L̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ̲D̲I̲V̲I̲S̲I̲O̲N̲ ̲O̲F̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""EXTRA STRENGTH BENADRYL ALLERGY NIGHTTIME (chlorhydrate de diphenhydramine 50 mg comprimé oral) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
62611,02239155,POLYSPORIN PLUS PAIN RELIEF EAR DROPS (chlorhydrate de lidocaïne 50 mg par mL et polymyxine B (sulfate de polymyxine B) 10000 unité par mL gouttes otiques) KENVUE CANADA INC.,chlorhydrate de lidocaïne 50 mg par mL et polymyxine B (sulfate de polymyxine B) 10000 unité par mL gouttes otiques,lidocaïne et polymyxine B,"mp_fr_description: ""POLYSPORIN PLUS PAIN RELIEF EAR DROPS (chlorhydrate de lidocaïne 50 mg par mL et polymyxine B (sulfate de polymyxine B) 10000 unité par mL gouttes otiques) J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""POLYSPORIN PLUS PAIN RELIEF EAR DROPS (chlorhydrate de lidocaïne 50 mg par mL et polymyxine B (sulfate de polymyxine B) 10000 unité par mL gouttes otiques) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
62612,02239156,"POLYSPORIN EYE AND EAR DROPS STERILE (gramicidine 0,025 mg par mL et polymyxine B (sulfate de polymyxine B) 10000 unité par mL gouttes otiques/ophtalmiques) KENVUE CANADA INC.","gramicidine 0,025 mg par mL et polymyxine B (sulfate de polymyxine B) 10000 unité par mL gouttes otiques/ophtalmiques",gramicidine et polymyxine B,"mp_fr_description: ""POLYSPORIN EYE AND EAR DROPS STERILE (gramicidine 0,025 mg par mL et polymyxine B (sulfate de polymyxine B) 10000 unité par mL gouttes otiques/ophtalmiques) J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""POLYSPORIN EYE AND EAR DROPS STERILE (gramicidine 0,025 mg par mL et polymyxine B (sulfate de polymyxine B) 10000 unité par mL gouttes otiques/ophtalmiques) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
63874,02240335,MONUROL (fosfomycine (trométhamine de fosfomycine) 3 g par sachet poudre pour solution orale) KNIGHT THERAPEUTICS INC.,fosfomycine (trométhamine de fosfomycine) 3 g par sachet poudre pour solution orale,fosfomycine,"mp_fr_description: ""MONUROL (fosfomycine (trométhamine de fosfomycine) 3 g par sachet poudre pour solution orale) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."" -> ""MONUROL (fosfomycine (trométhamine de fosfomycine) 3 g par sachet poudre pour solution orale) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲."""
66820,02242980,"ANTIZOL (fomépizole 1,5 g par 1,5 mL solution injectable fiole) KNIGHT THERAPEUTICS INC.","fomépizole 1,5 g par 1,5 mL solution injectable fiole",fomépizole,"mp_fr_description: ""ANTIZOL (fomépizole 1,5 g par 1,5 mL solution injectable fiole) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."" -> ""ANTIZOL (fomépizole 1,5 g par 1,5 mL solution injectable fiole) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲."""
70300,02246156,"POLYSPORIN ITCH RELIEF (chlorhydrate de pramoxine 1 % et acétate de zinc 0,1 % lotion) KENVUE CANADA INC.","chlorhydrate de pramoxine 1 % et acétate de zinc 0,1 % lotion",pramoxine et acétate de zinc,"mp_fr_description: ""POLYSPORIN ITCH RELIEF (chlorhydrate de pramoxine 1 % et acétate de zinc 0,1 % lotion) J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""POLYSPORIN ITCH RELIEF (chlorhydrate de pramoxine 1 % et acétate de zinc 0,1 % lotion) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
72225,02247916,"CIPRO XL (ciprofloxacine (ciprofloxacine, chlorhydrate de ciprofloxacine) 500 mg comprimé oral à libération prolongée) BAYER INC","ciprofloxacine (ciprofloxacine, chlorhydrate de ciprofloxacine) 500 mg comprimé oral à libération prolongée",ciprofloxacine,"ntp_code: ""9015330"" -> ""9001049"""
73669,02251787,"CIPRO XL (ciprofloxacine (ciprofloxacine, chlorhydrate de ciprofloxacine) 1000 mg comprimé oral à libération prolongée) BAYER INC","ciprofloxacine (ciprofloxacine, chlorhydrate de ciprofloxacine) 1000 mg comprimé oral à libération prolongée",ciprofloxacine,"ntp_code: ""9015329"" -> ""9001076"""
75088,02265419,BENYLIN EXTRA STRENGTH COUGH & CHEST CONGESTION (bromhydrate de dextrométhorphane 15 mg par 5 mL et guaïfénésine 200 mg par 5 mL et menthol 15 mg par 5 mL sirop) KENVUE CANADA INC.,bromhydrate de dextrométhorphane 15 mg par 5 mL et guaïfénésine 200 mg par 5 mL et menthol 15 mg par 5 mL sirop,dextrométhorphane et guaïfénésine et menthol,"mp_fr_description: ""BENYLIN EXTRA STRENGTH COUGH & CHEST CONGESTION (bromhydrate de dextrométhorphane 15 mg par 5 mL et guaïfénésine 200 mg par 5 mL et menthol 15 mg par 5 mL sirop) M̲C̲N̲E̲I̲L̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ̲D̲I̲V̲I̲S̲I̲O̲N̲ ̲O̲F̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""BENYLIN EXTRA STRENGTH COUGH & CHEST CONGESTION (bromhydrate de dextrométhorphane 15 mg par 5 mL et guaïfénésine 200 mg par 5 mL et menthol 15 mg par 5 mL sirop) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
75089,02265427,BENYLIN EXTRA STRENGTH CHEST CONGESTION & COLD (guaïfénésine 200 mg par 5 mL et menthol 15 mg par 5 mL sirop) KENVUE CANADA INC.,guaïfénésine 200 mg par 5 mL et menthol 15 mg par 5 mL sirop,guaïfénésine et menthol,"mp_fr_description: ""BENYLIN EXTRA STRENGTH CHEST CONGESTION & COLD (guaïfénésine 200 mg par 5 mL et menthol 15 mg par 5 mL sirop) M̲C̲N̲E̲I̲L̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ̲D̲I̲V̲I̲S̲I̲O̲N̲ ̲O̲F̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""BENYLIN EXTRA STRENGTH CHEST CONGESTION & COLD (guaïfénésine 200 mg par 5 mL et menthol 15 mg par 5 mL sirop) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
