ntp_code,ntp_formal_name,changes
9000736,azithromycin 600 mg oral tablet,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""20051102"" -> ""20220726"""
9000054,lithium carbonate 300 mg oral capsule,"ntp_status_effective_time: ""19711231"" -> ""19791231"""
9014791,dequalinium chloride 0.5 % oromucosal spray,DELETED
489cef4f33fac70a7dcb0b651315e2ed,sulfamethoxazole 80 mg per mL and trimethoprim 16 mg per mL solution for injection,ADDED
9015117,"SARSCoV2 S-protein mRNA, 5'[m27,3'-oGppp(m12'-O)ApG], 3'polyA+linker 10 mcg per 0.3 mL suspension for injection 1.8 mL vial","ntp_status_effective_time: ""20231023"" -> ""20240924"""
c1116b73cff42583e95c15443cee41cf,amivantamab 3520 mg per 22 mL solution for injection,ADDED
9013781,cholestyramine 4 g per sachet powder for oral suspension,"ntp_status_effective_time: ""19931231"" -> ""19960315"""
9001999,tretinoin 0.01 % cutaneous gel,DELETED
9015240,thiotepa 400 mg powder for solution for injection with diluent solution per bag,DELETED
85ab7fff7f4928bccaf1dd352b51b350,anifrolumab 120 mg per 0.8 mL solution for injection,ADDED
9015112,"SARSCoV2 S-protein mRNA, 5'(m7G-5'-ppp-5'-Gm), 3'polyA 0.1 mg per mL dispersion for injection 2.5 mL vial","ntp_status_effective_time: ""20230918"" -> ""20240924"""
9013782,colesevelam hydrochloride 3.75 g per sachet powder for oral suspension,DELETED
3fab4e84d182bdce36e2ced974ad92c3,roflumilast 0.05 % cutaneous cream,ADDED
d526f7b9905642562fa2197289eaba2f,betamethasone (betamethasone dipropionate) 0.5 mg per g and calcipotriol 0.05 mg per g cutaneous cream,ADDED
9012806,fluconazole 150 mg oral capsule with miconazole nitrate 2 % cutaneous cream,DELETED
9000677,valproic acid 500 mg gastro-resistant capsule,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19961213"" -> ""20250509"""
9014048,methimazole 10 mg oral tablet,"ntp_status_effective_time: ""20080107"" -> ""20181019"""
e2adc78a11ca3500aa093603aebdd8bb,epinephrine 2 mg per 0.1 mL nasal spray,ADDED
9003571,pamabrom 50 mg oral tablet,DELETED
9002863,piperonyl butoxide 3 % and pyrethrins 0.33 % shampoo,DELETED
9002480,moclobemide 150 mg oral tablet,"ntp_status_effective_time: ""19921231"" -> ""19970918"""
9014049,methimazole 5 mg oral tablet,"ntp_status_effective_time: ""19511231"" -> ""20181019"""
83495d8fa04984b93d56d2fd5d8e495c,amivantamab 1600 mg per 10 mL solution for injection,ADDED
9015329,"ciprofloxacin (ciprofloxacin, ciprofloxacin hydrochloride) 1000 mg prolonged-release oral tablet",DELETED
6ce6af943aa36fad88b20146f9ba9482,tenecteplase 25 mg per vial powder for solution for injection,ADDED
e178d781feea084acb2bf4aeda6e53e2,dextromethorphan hydrobromide 30 mg per 10 mL and guaifenesin 400 mg per 10 mL and menthol 40 mg per 10 mL syrup,ADDED
9015228,aflibercept 2 mg per 0.05 mL solution for injection,ADDED
9015330,"ciprofloxacin (ciprofloxacin, ciprofloxacin hydrochloride) 500 mg prolonged-release oral tablet",DELETED
9013435,dinoprostone 2 mg per 3 g vaginal gel syringe,DELETED
9001572,trimeprazine (trimeprazine tartrate) 2.5 mg oral tablet,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19591231"" -> ""20260731"""
9001573,trimeprazine (trimeprazine tartrate) 5 mg oral tablet,DELETED
9001783,dinoprostone 0.5 mg oral tablet,DELETED
9015118,"SARSCoV2 S-protein mRNA, 5'[m27,3'-oGppp(m12'-O)ApG], 3'polyA+linker 30 mcg per 0.3 mL suspension for injection 0.3 mL vial","ntp_status_effective_time: ""20231010"" -> ""20240924"""
d79514da007351874e1196281d4e022c,selpercatinib 80 mg oral tablet,ADDED
7d00a68bec8f78894ddef74b638d9465,acetaminophen 325 mg and dextromethorphan hydrobromide 10 mg oral tablet,ADDED
9012508,levofloxacin 240 mg per 2.4 mL nebulizer solution unit dose vial,DELETED
d5d5c95de7f375781e04d99c629c8e42,sumatriptan (sumatriptan succinate) 6 mg per 0.5 mL solution for injection,ADDED
2832a3fba16d0768f237fce35864fd60,benzalkonium chloride 0.13 % and lidocaine hydrochloride 4 % cutaneous gel,ADDED
fe7bac77bc6bce22748a52336b2bea8c,amivantamab 2240 mg per 14 mL solution for injection,ADDED
9015116,"SARSCoV2 S-protein mRNA, 5'[m27,3'-oGppp(m12'-O)ApG], 3'polyA+linker 10 mcg per 0.3 mL suspension for injection 0.3 mL vial","ntp_status_effective_time: ""20231023"" -> ""20240924"""
6b2c11066a43ce78e1141daf131eb2eb,amivantamab 2400 mg per 15 mL solution for injection,ADDED
9001176,hydrochlorothiazide 12.5 mg and ramipril 10 mg oral tablet,"ntp_status_effective_time: ""20061116"" -> ""20100203"""
9003138,dyclonine hydrochloride 1.2 mg lozenge,"ntp_status_effective_time: ""20190703"" -> ""20260811"""
9013434,dinoprostone 1 mg per 3 g vaginal gel syringe,DELETED
9004550,dimethicone 1 % and zinc oxide 12 % cutaneous cream,"ntp_status: ""INACTIVE"" -> ""ACTIVE""
ntp_status_effective_time: ""20260729"" -> ""20090520"""
9015119,"SARSCoV2 S-protein mRNA, 5'[m27,3'-oGppp(m12'-O)ApG], 3'polyA+linker 30 mcg per 0.3 mL suspension for injection 1.8 mL vial","ntp_status_effective_time: ""20231010"" -> ""20240924"""
