drug_code,mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
3348,00463221,LYSODREN (mitotane 500 mg comprimé oral) ESTEVE PHARMACEUTICALS S.A.,mitotane 500 mg comprimé oral,mitotane,"mp_fr_description: ""LYSODREN (mitotane 500 mg comprimé oral) H̲R̲A̲ ̲P̲H̲A̲R̲M̲A̲ ̲R̲A̲R̲E̲ ̲D̲I̲S̲E̲A̲S̲E̲S̲"" -> ""LYSODREN (mitotane 500 mg comprimé oral) E̲S̲T̲E̲V̲E̲ ̲P̲H̲A̲R̲M̲A̲C̲E̲U̲T̲I̲C̲A̲L̲S̲ ̲S̲.̲A̲.̲"""
5254,00559393,TYLENOL REGULAR STRENGTH (acétaminophène 325 mg comprimé oral) KENVUE CANADA INC.,acétaminophène 325 mg comprimé oral,acétaminophène,"mp_fr_description: ""TYLENOL REGULAR STRENGTH (acétaminophène 325 mg comprimé oral) M̲C̲N̲E̲I̲L̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ̲D̲I̲V̲I̲S̲I̲O̲N̲ ̲O̲F̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""TYLENOL REGULAR STRENGTH (acétaminophène 325 mg comprimé oral) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
6512,00648019,PRO-METOPROLOL (tartrate de métoprolol 50 mg comprimé oral) PRO DOC LIMITEE,tartrate de métoprolol 50 mg comprimé oral,métoprolol,"mp_fr_description: ""METOPROLOL̲-̲L (tartrate de métoprolol 50 mg comprimé oral) PRO DOC LIMITEE"" -> ""P̲R̲O̲-̲METOPROLOL (tartrate de métoprolol 50 mg comprimé oral) PRO DOC LIMITEE"""
6513,00648027,PRO-METOPROLOL-L (tartrate de métoprolol 100 mg comprimé oral) PRO DOC LIMITEE,tartrate de métoprolol 100 mg comprimé oral,métoprolol,"mp_fr_description: ""METOPROLOL-L (tartrate de métoprolol 100 mg comprimé oral) PRO DOC LIMITEE"" -> ""P̲R̲O̲-̲METOPROLOL-L (tartrate de métoprolol 100 mg comprimé oral) PRO DOC LIMITEE"""
8597,00723894,TYLENOL REGULAR STRENGTH CAPLETS (acétaminophène 325 mg comprimé oral) KENVUE CANADA INC.,acétaminophène 325 mg comprimé oral,acétaminophène,"mp_fr_description: ""TYLENOL REGULAR STRENGTH CAPLETS (acétaminophène 325 mg comprimé oral) M̲C̲N̲E̲I̲L̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ̲D̲I̲V̲I̲S̲I̲O̲N̲ ̲O̲F̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""TYLENOL REGULAR STRENGTH CAPLETS (acétaminophène 325 mg comprimé oral) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
19313,02162717,ANAPROX DS (naproxène sodique 550 mg comprimé oral) SEARCHLIGHT PHARMA INC,naproxène sodique 550 mg comprimé oral,naproxène,"mp_fr_description: ""ANAPROX DS (naproxène sodique 550 mg comprimé oral) A̲T̲N̲A̲H̲S̲ ̲P̲H̲A̲R̲M̲A̲ ̲U̲K̲ ̲L̲I̲M̲I̲T̲E̲D̲"" -> ""ANAPROX DS (naproxène sodique 550 mg comprimé oral) S̲E̲A̲R̲C̲H̲L̲I̲G̲H̲T̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲"""
19446,02162725,ANAPROX (naproxène sodique 275 mg comprimé oral) SEARCHLIGHT PHARMA INC,naproxène sodique 275 mg comprimé oral,naproxène,"mp_fr_description: ""ANAPROX (naproxène sodique 275 mg comprimé oral) A̲T̲N̲A̲H̲S̲ ̲P̲H̲A̲R̲M̲A̲ ̲U̲K̲ ̲L̲I̲M̲I̲T̲E̲D̲"" -> ""ANAPROX (naproxène sodique 275 mg comprimé oral) S̲E̲A̲R̲C̲H̲L̲I̲G̲H̲T̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲"""
42341,02046059,INFANTS' TYLENOL (acétaminophène 80 mg par mL gouttes orales) KENVUE CANADA INC.,acétaminophène 80 mg par mL gouttes orales,acétaminophène,"mp_fr_description: ""INFANTS' TYLENOL (acétaminophène 80 mg par mL gouttes orales) M̲C̲N̲E̲I̲L̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ̲D̲I̲V̲I̲S̲I̲O̲N̲ ̲O̲F̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""INFANTS' TYLENOL (acétaminophène 80 mg par mL gouttes orales) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
48622,02230090,APO-PENTOXIFYLLINE SR (pentoxifylline 400 mg comprimé oral à libération prolongée) APOTEX INC,pentoxifylline 400 mg comprimé oral à libération prolongée,pentoxifylline,"mp_fr_description: ""PENTOXIFYLLINE SR (pentoxifylline 400 mg comprimé oral à libération prolongée) AA̲ ̲P̲H̲A̲R̲M̲A̲ INC"" -> ""A̲P̲O̲-̲PENTOXIFYLLINE SR (pentoxifylline 400 mg comprimé oral à libération prolongée) AP̲O̲T̲E̲X̲ INC"""
64993,02241361,CHILDREN'S TYLENOL CHEWABLES (acétaminophène 160 mg comprimé à croquer) KENVUE CANADA INC.,acétaminophène 160 mg comprimé à croquer,acétaminophène,"mp_fr_description: ""CHILDREN'S TYLENOL CHEWABLES (acétaminophène 160 mg comprimé à croquer) M̲C̲N̲E̲I̲L̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ̲D̲I̲V̲I̲S̲I̲O̲N̲ ̲O̲F̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""CHILDREN'S TYLENOL CHEWABLES (acétaminophène 160 mg comprimé à croquer) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
70191,02246060,TYLENOL MUSCLE & BODY (acétaminophène 650 mg comprimé oral à libération prolongée) KENVUE CANADA INC.,acétaminophène 650 mg comprimé oral à libération prolongée,acétaminophène,"mp_fr_description: ""TYLENOL MUSCLE & BODY (acétaminophène 650 mg comprimé oral à libération prolongée) M̲C̲N̲E̲I̲L̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ̲D̲I̲V̲I̲S̲I̲O̲N̲ ̲O̲F̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""TYLENOL MUSCLE & BODY (acétaminophène 650 mg comprimé oral à libération prolongée) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
71463,02247221,PRO-SIMVASTATIN (simvastatine 10 mg comprimé oral) PRO DOC LIMITEE,simvastatine 10 mg comprimé oral,simvastatine,"mp_fr_description: ""SIMVASTATIN-̲1̲0̲ (simvastatine 10 mg comprimé oral) PRO DOC LIMITEE"" -> ""P̲R̲O̲-̲SIMVASTATIN (simvastatine 10 mg comprimé oral) PRO DOC LIMITEE"""
71464,02247222,PRO-SIMVASTATIN (simvastatine 20 mg comprimé oral) PRO DOC LIMITEE,simvastatine 20 mg comprimé oral,simvastatine,"mp_fr_description: ""SIMVASTATIN-̲2̲0̲ (simvastatine 20 mg comprimé oral) PRO DOC LIMITEE"" -> ""P̲R̲O̲-̲SIMVASTATIN (simvastatine 20 mg comprimé oral) PRO DOC LIMITEE"""
71465,02247223,PRO-SIMVASTATIN (simvastatine 40 mg comprimé oral) PRO DOC LIMITEE,simvastatine 40 mg comprimé oral,simvastatine,"mp_fr_description: ""SIMVASTATIN-̲4̲0̲ (simvastatine 40 mg comprimé oral) PRO DOC LIMITEE"" -> ""P̲R̲O̲-̲SIMVASTATIN (simvastatine 40 mg comprimé oral) PRO DOC LIMITEE"""
71466,02247224,PRO-SIMVASTATIN (simvastatine 80 mg comprimé oral) PRO DOC LIMITEE,simvastatine 80 mg comprimé oral,simvastatine,"mp_fr_description: ""SIMVASTATIN-̲8̲0̲ (simvastatine 80 mg comprimé oral) PRO DOC LIMITEE"" -> ""P̲R̲O̲-̲SIMVASTATIN (simvastatine 80 mg comprimé oral) PRO DOC LIMITEE"""
