"drug_code","drug_identification_number","brand_name_current","brand_name_previous"
10567,"00869961","MESTINON","MESTINON TAB 60MG USP"
10897,"00887064","DOXYTAB","DOXYTAB 100MG"
13373,"02004496","PERFECTION NETTOYANT DÉSINFECTANT LIQUIDE","PERFECTION NETTOYANT DESINFECTANT LIQUIDE"
1802,"00280437","CORTISONE ACETATE","CORTISONE ACETATE TAB 25MG"
19026,"02142775","ROBITUSSIN EXTRA STRENGTH COUGH CONTROL","ROBITUSSIN COUGH CONTROL EXTRA STRENGTH"
19082,"02157616","DIOVOL PLUS ALUMINUM FREE SUSPENSION","DIOVOL PLUS AF-SUSPENSION"
579,"00021288","TEVA-PHENIRAM","NOVO-PHENIRAM"
78573,"02300435","ACETYLCYSTEINE INJECTION","ACETYLCYSTEINE INJECTION 200 MG/ML"
83056,"02345110","BENYLIN ALL-IN-ONE COLD, FLU & COUGH LIQUID GELS","BENYLIN ALL-IN-ONE COLD AND FLU LIQUID GELS"
90351,"02418967","MOTRIN PLATINUM MUSCLE & BODY","MOTRIN PLATINUM MUSCLE AND BODY"
9831,"00799998","STERILE WATER FOR IRRIGATION, USP","STERILE WATER FOR IRRIGATION"
52218,"02232655","SULFISOXAZOLE","SULFISOXAZOLE 500MG TABLETS"
