drug_code,drug_identification_number,current_brand_name,previous_brand_name
"74839","02262983","SUPEUDOL 20","SUPEUDOL"
"85560","02370441","TEVA-DILTIAZEM T","ACT DILTIAZEM T"
"85947","02374277","VICKS NYQUIL COLD & FLU","VICKS NYQUIL COLD & FLU NIGHTTIME RELIEF"
"88592","02401193","ADVIL FLU","ADVIL COLD, COUGH & FLU NIGHTTIME"
"88801","02403196","TEVA-CLARITHROMYCIN XL","ACT CLARITHROMYCIN XL"
"92853","02443783","COLGATE TOTAL ACTIVE PREVENTION","COLGATE TOTAL"
"99358","02504146","NRA-TELMISARTAN/HCTZ","NRA-TELMISARTAN HCTZ"
"101959","02530414","COLGATE TOTAL ACTIVE PREVENTION GUM HEALTH","COLGATE TOTAL GUM HEALTH"
"15483","02046733","PULMOZYME","PULMOZYME 1MG/ML"
"19064","02177587","PMS-FLUOXETINE","PMS-FLUOXETINE - CAP 20MG"
"19074","02177579","PMS-FLUOXETINE","PMS-FLUOXETINE - CAP 10MG"
"46803","01900978","REACTINE 20 MG TABLET","REACTINE 20MG TABLET"
"85564","02370492","TEVA-DILTIAZEM T","ACT DILTIAZEM T"
"85565","02370506","TEVA-DILTIAZEM T","ACT DILTIAZEM T"
"85566","02370514","TEVA-DILTIAZEM T","ACT DILTIAZEM T"
"85567","02370522","TEVA-DILTIAZEM T","ACT DILTIAZEM T"
"99357","02504138","NRA-TELMISARTAN/HCTZ","NRA-TELMISARTAN HCTZ"
