drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"104162","56","ORAL","ADDED","02552655"
"103550","93","DISINFECTANT (Domestic)","ADDED","02546825"
"104142","49","INTRAVENOUS","ADDED","02552450"
"104163","70","TOPICAL","ADDED","02552663"
"104107","55","OPHTHALMIC","ADDED","02552418"
"104168","56","ORAL","ADDED","02552728"
"104143","49","INTRAVENOUS","ADDED","02552469"
"104160","56","ORAL","ADDED","02552612"
"104092","56","ORAL","ADDED","02552248"
"104154","70","TOPICAL","ADDED","02552590"
"104139","94","DISINFECTANT (Institutional/Industrial)","ADDED","02552442"
"104158","56","ORAL","ADDED","02552639"
"104094","56","ORAL","ADDED","02552264"
"104161","70","TOPICAL","ADDED","02552647"
"100636","56","ORAL","ADDED","02517027"
"104095","56","ORAL","ADDED","02552272"
"104169","56","ORAL","ADDED","02552736"
"104104","49","INTRAVENOUS","ADDED","02552361"
"100635","56","ORAL","ADDED","02517019"
"104145","65","SUBCUTANEOUS","ADDED","02552485"
"100637","56","ORAL","ADDED","02517035"
"100391","56","ORAL","ADDED","02514591"
"104157","56","ORAL","ADDED","02552620"
"50698","56","ORAL","ADDED","02231387"
"104152","70","TOPICAL","ADDED","02552566"
"104108","56","ORAL","ADDED","02552426"
"103590","56","ORAL","ADDED","02547279"
"104091","56","ORAL","ADDED","02552221"
"103979","56","ORAL","ADDED","02551039"
"50697","56","ORAL","ADDED","02231386"
"103292","56","ORAL","ADDED","02544369"
"104100","56","ORAL","ADDED","02552329"
"104165","65","SUBCUTANEOUS","ADDED","02552698"
"104063","56","ORAL","ADDED","02551934"
"104153","56","ORAL","ADDED","02552574"
"104099","56","ORAL","ADDED","02552310"
"104146","65","SUBCUTANEOUS","ADDED","02552493"
"103978","56","ORAL","ADDED","02551020"
"100204","56","ORAL","ADDED","02512785"
"104093","56","ORAL","ADDED","02552256"
"50696","56","ORAL","ADDED","02231385"
"104103","49","INTRAVENOUS","ADDED","02552353"
"104147","65","SUBCUTANEOUS","ADDED","02552507"
"104043","70","TOPICAL","ADDED","02551713"
"100205","56","ORAL","ADDED","02512793"
"104149","56","ORAL","ADDED","02552523"
"104150","56","ORAL","ADDED","02552531"
"104105","49","INTRAVENOUS","ADDED","02552388"
"100203","56","ORAL","ADDED","02512777"
"104109","70","TOPICAL","ADDED","02552434"
"104144","49","INTRAVENOUS","ADDED","02552477"
"100392","56","ORAL","ADDED","02514605"
"100393","56","ORAL","ADDED","02514613"
"103977","56","ORAL","ADDED","02551012"
"71711","93","DISINFECTANT (Domestic)","ADDED","02247463"
"104101","56","ORAL","ADDED","02552337"
"103560","9","DISINFECTANT (Hospital/HC Facilities)","REMOVED","02546930"
"103547","56","ORAL","ADDED","02546795"
"104096","56","ORAL","ADDED","02552280"
"104149","120","GASTRIC","ADDED","02552523"
"103730","56","ORAL","ADDED","02548410"
"104098","56","ORAL","ADDED","02552302"
"103019","56","ORAL","ADDED","02541556"
"104148","56","ORAL","ADDED","02552515"
"103550","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02546825"
"104155","56","ORAL","ADDED","02552582"
"70173","93","DISINFECTANT (Domestic)","ADDED","02246042"
"104107","57","OTIC","ADDED","02552418"
