drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"12743","active","active","01946986","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"97138","active","active","02480794","CELLTRION INC.","CELLTRION HEALTHCARE CO LTD"
"95325","active","active","02465043","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"50227","active","active","02230949","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"88592","active","active","02401193","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"99555","active","active","02506211","CELLTRION INC.","CELLTRION HEALTHCARE CO LTD"
"87843","active","active","02393190","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"42066","dormant","dormant","00875996","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
