drug_code,drug_identification_number,current_brand_name,previous_brand_name
"2211","00312797","APO-IMIPRAMINE TABLETS","IMIPRAMINE"
"2212","00326852","APO-IMIPRAMINE TABLETS","IMIPRAMINE"
"2444","00360201","APO-IMIPRAMINE TABLETS","IMIPRAMINE"
"6512","00648019","PRO-METOPROLOL-L","PRO-METOPROLOL"
"10008","00644579","APO-IMIPRAMINE TABLETS","IMIPRAMINE"
"49241","02230402","CLOPIXOL","CLOPIXOL TABLETS 10MG"
"49242","02230403","CLOPIXOL","CLOPIXOL TABLETS 25MG"
"49244","02230405","CLOPIXOL ACUPHASE ","CLOPIXOL-ACUPHASE 50MG/ML"
"49245","02230406","CLOPIXOL DEPOT","CLOPIXOL DEPOT 200MG/ML"
"93668","02450526","PRO-CETIRIZINE","CETIRIZINE"
"98811","02498332","JAMP ROSUVASTATIN TABLETS","JAMP ROSUVASTATIN CALCIUM"
"98812","02498340","JAMP ROSUVASTATIN TABLETS","JAMP ROSUVASTATIN CALCIUM"
"98813","02498359","JAMP ROSUVASTATIN TABLETS","JAMP ROSUVASTATIN CALCIUM"
"98814","02498367","JAMP ROSUVASTATIN TABLETS","JAMP ROSUVASTATIN CALCIUM"
"9566","00786012","DEXONE","DEXONE PWR"
"11977","01923838","SOLVATRIM","NOROVET TMPS (INJECTABLE SOLUTION)"
"74396","02258722","DEXAFORTE 2","DEXAFORTE 2 (DEXAMETHASONE SODIUM PHOSPHATE INJECTION)"
"74397","02258730","DEXAFORTE 5","DEXAFORTE 5 (DEXAMETHASONE SODIUM PHOSPHATE INJECTION)"
