drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"2211","active","active","00312797","APOTEX INC","AA PHARMA INC"
"2212","active","active","00326852","APOTEX INC","AA PHARMA INC"
"2444","active","active","00360201","APOTEX INC","AA PHARMA INC"
"10000","active","active","00813761","PHIBRO ANIMAL HEALTH CORPORATION","ZOETIS CANADA INC"
"10008","active","active","00644579","APOTEX INC","AA PHARMA INC"
"10030","active","active","00813818","PHIBRO ANIMAL HEALTH CORPORATION","ZOETIS CANADA INC"
"10165","active","active","00813559","PHIBRO ANIMAL HEALTH CORPORATION","ZOETIS CANADA INC"
"10166","active","active","00813648","PHIBRO ANIMAL HEALTH CORPORATION","ZOETIS CANADA INC"
"18314","active","active","02130181","IOVANCE BIOTHERAPEUTICS MANUFACTURING LLC","STERIMAX INC"
"71848","active","active","02247591","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"72943","active","active","02248588","PHOENIX LABS UNLIMITED COMPANY","LEDA HEALTH INNOVATIONS INC."
"73935","active","active","02254468","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"74869","active","active","02263300","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"74899","active","active","02263610","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"74901","active","active","02263637","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"74902","active","active","02263645","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"74903","active","active","02263653","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"76967","active","active","02284111","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"78509","active","active","02299720","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"84738","active","active","02362376","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"99462","active","active","02505266","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"100539","active","active","02516039","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"102314","active","active","02534193","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"103325","active","active","02544687","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"104181","active","active","02552841","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"74898","inactive","inactive","02263602","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"74900","inactive","inactive","02263629","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
