drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"106261","56","ORAL","ADDED","02559455"
"106240","65","SUBCUTANEOUS","ADDED","02559234"
"106286","8","DISINFECTANT (Food Premises)","ADDED","02559730"
"106283","56","ORAL","ADDED","02559706"
"106232","65","SUBCUTANEOUS","ADDED","02559137"
"106219","22","INTRAMUSCULAR","ADDED","02558998"
"106228","56","ORAL","ADDED","02559099"
"106253","94","DISINFECTANT (Institutional/Industrial)","ADDED","02559374"
"106247","8","DISINFECTANT (Food Premises)","ADDED","02559307"
"106271","3","BUCCAL","ADDED","02559579"
"106256","56","ORAL","ADDED","02559404"
"106287","56","ORAL","ADDED","02559749"
"106286","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02559730"
"106230","56","ORAL","ADDED","02559110"
"106244","56","ORAL","ADDED","02559277"
"106310","70","TOPICAL","ADDED","02560003"
"106268","65","SUBCUTANEOUS","ADDED","02559544"
"106245","56","ORAL","ADDED","02559285"
"106281","56","ORAL","ADDED","02559684"
"106242","56","ORAL","ADDED","02559250"
"65747","94","DISINFECTANT (Institutional/Industrial)","REMOVED","02242074"
"106253","93","DISINFECTANT (Domestic)","ADDED","02559374"
"106257","56","ORAL","ADDED","02559412"
"106151","80","INTRAVITREAL","ADDED","02558238"
"102467","80","INTRAVITREAL","ADDED","02535858"
"106253","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02559374"
"106274","3","BUCCAL","ADDED","02559609"
"106286","94","DISINFECTANT (Institutional/Industrial)","ADDED","02559730"
"106296","56","ORAL","ADDED","02559854"
"106252","56","ORAL","ADDED","02559366"
"106238","65","SUBCUTANEOUS","ADDED","02559218"
"106215","56","ORAL","ADDED","02558947"
"106255","49","INTRAVENOUS","ADDED","02559390"
"106216","56","ORAL","ADDED","02558955"
"106234","49","INTRAVENOUS","ADDED","02559153"
"103942","80","INTRAVITREAL","ADDED","02550636"
"106247","94","DISINFECTANT (Institutional/Industrial)","ADDED","02559307"
"106229","56","ORAL","ADDED","02559102"
"106267","65","SUBCUTANEOUS","ADDED","02559536"
"106263","56","ORAL","ADDED","02559471"
"106227","56","ORAL","ADDED","02559080"
"106264","56","ORAL","ADDED","02559498"
"106269","65","SUBCUTANEOUS","ADDED","02559552"
"106258","56","ORAL","ADDED","02559420"
"106270","65","SUBCUTANEOUS","ADDED","02559560"
"106285","56","ORAL","ADDED","02559722"
"106211","65","SUBCUTANEOUS","ADDED","02558904"
"106253","2","DISINFECTANT (Barn)","ADDED","02559374"
"106226","56","ORAL","ADDED","02559072"
"106277","56","ORAL","ADDED","02559633"
"106298","56","ORAL","ADDED","02559870"
"106286","2","DISINFECTANT (Barn)","ADDED","02559730"
"106255","22","INTRAMUSCULAR","ADDED","02559390"
"65747","9","DISINFECTANT (Hospital/HC Facilities)","REMOVED","02242074"
"106225","56","ORAL","ADDED","02559064"
"106280","56","ORAL","ADDED","02559676"
"106253","8","DISINFECTANT (Food Premises)","ADDED","02559374"
"106239","65","SUBCUTANEOUS","ADDED","02559226"
"106299","56","ORAL","ADDED","02559889"
"106246","56","ORAL","ADDED","02559293"
"106241","65","SUBCUTANEOUS","ADDED","02559242"
"106243","56","ORAL","ADDED","02559269"
"106220","56","ORAL","ADDED","02559005"
"106233","65","SUBCUTANEOUS","ADDED","02559145"
"104306","80","INTRAVITREAL","ADDED","02554194"
"106282","49","INTRAVENOUS","ADDED","02559692"
"106278","56","ORAL","ADDED","02559641"
"106286","93","DISINFECTANT (Domestic)","ADDED","02559730"
"106259","56","ORAL","ADDED","02559439"
"106203","65","SUBCUTANEOUS","ADDED","02558815"
"104305","80","INTRAVITREAL","ADDED","02554178"
"106273","3","BUCCAL","ADDED","02559595"
"106279","56","ORAL","ADDED","02559668"
"106231","56","ORAL","ADDED","02559129"
"103941","80","INTRAVITREAL","ADDED","02550628"
"106297","56","ORAL","ADDED","02559862"
"106272","3","BUCCAL","ADDED","02559587"
"106218","22","INTRAMUSCULAR","ADDED","02558971"
"106221","56","ORAL","ADDED","02559013"
"106314","70","TOPICAL","ADDED","02560054"
"106262","56","ORAL","ADDED","02559463"
"106251","4001","SUPRACHOROIDAL","ADDED","02559358"
