drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
"106262","141","CAPSULE (EXTENDED RELEASE)","ADDED","02559463"
"106220","85","TABLET","ADDED","02559005"
"106279","85","TABLET","ADDED","02559668"
"106268","134","SOLUTION","ADDED","02559544"
"106283","134","SOLUTION","ADDED","02559706"
"106259","141","CAPSULE (EXTENDED RELEASE)","ADDED","02559439"
"106261","141","CAPSULE (EXTENDED RELEASE)","ADDED","02559455"
"42848","68","CAPSULE (SUSTAINED-RELEASE)","REMOVED","02184451"
"106242","5","CAPSULE","ADDED","02559250"
"42846","141","CAPSULE (EXTENDED RELEASE)","ADDED","02184435"
"106219","79","SUSPENSION","ADDED","02558998"
"106233","134","SOLUTION","ADDED","02559145"
"106216","75","TABLET (EXTENDED-RELEASE)","ADDED","02558955"
"106285","141","CAPSULE (EXTENDED RELEASE)","ADDED","02559722"
"65841","141","CAPSULE (EXTENDED RELEASE)","ADDED","02242163"
"102467","134","SOLUTION","ADDED","02535858"
"103942","134","SOLUTION","ADDED","02550636"
"42846","68","CAPSULE (SUSTAINED-RELEASE)","REMOVED","02184435"
"65841","68","CAPSULE (SUSTAINED-RELEASE)","REMOVED","02242163"
"106277","85","TABLET","ADDED","02559633"
"106240","32","KIT","ADDED","02559234"
"106151","134","SOLUTION","ADDED","02558238"
"106271","134","SOLUTION","ADDED","02559579"
"65747","34","LIQUID","REMOVED","02242074"
"106264","141","CAPSULE (EXTENDED RELEASE)","ADDED","02559498"
"106203","126","POWDER FOR SUSPENSION","ADDED","02558815"
"106225","85","TABLET","ADDED","02559064"
"106234","134","SOLUTION","ADDED","02559153"
"16507","34","LIQUID","REMOVED","02080036"
"106255","134","SOLUTION","ADDED","02559390"
"16507","134","SOLUTION","ADDED","02080036"
"106286","105","WIPE","ADDED","02559730"
"106218","134","SOLUTION","ADDED","02558971"
"42848","141","CAPSULE (EXTENDED RELEASE)","ADDED","02184451"
"106272","134","SOLUTION","ADDED","02559587"
"106227","5","CAPSULE","ADDED","02559080"
"106270","134","SOLUTION","ADDED","02559560"
"106244","5","CAPSULE","ADDED","02559277"
"106230","5","CAPSULE","ADDED","02559110"
"106238","134","SOLUTION","ADDED","02559218"
"106243","5","CAPSULE","ADDED","02559269"
"106229","5","CAPSULE","ADDED","02559102"
"106297","85","TABLET","ADDED","02559862"
"106273","134","SOLUTION","ADDED","02559595"
"106232","134","SOLUTION","ADDED","02559137"
"106299","85","TABLET","ADDED","02559889"
"106263","141","CAPSULE (EXTENDED RELEASE)","ADDED","02559471"
"106267","134","SOLUTION","ADDED","02559536"
"106245","5","CAPSULE","ADDED","02559285"
"106231","5","CAPSULE","ADDED","02559129"
"65747","134","SOLUTION","ADDED","02242074"
"106247","134","SOLUTION","ADDED","02559307"
"104305","134","SOLUTION","ADDED","02554178"
"106257","141","CAPSULE (EXTENDED RELEASE)","ADDED","02559412"
"106221","85","TABLET","ADDED","02559013"
"106280","85","TABLET","ADDED","02559676"
"106296","85","TABLET","ADDED","02559854"
"106252","134","SOLUTION","ADDED","02559366"
"106251","79","SUSPENSION","ADDED","02559358"
"106269","134","SOLUTION","ADDED","02559552"
"106246","5","CAPSULE","ADDED","02559293"
"106241","32","KIT","ADDED","02559242"
"106314","9","CREAM","ADDED","02560054"
"106253","134","SOLUTION","ADDED","02559374"
"104306","134","SOLUTION","ADDED","02554194"
"106278","85","TABLET","ADDED","02559641"
"106228","5","CAPSULE","ADDED","02559099"
"103941","134","SOLUTION","ADDED","02550628"
"106310","36","LOTION","ADDED","02560003"
"106226","85","TABLET","ADDED","02559072"
"106298","85","TABLET","ADDED","02559870"
"106256","141","CAPSULE (EXTENDED RELEASE)","ADDED","02559404"
"106287","75","TABLET (EXTENDED-RELEASE)","ADDED","02559749"
"106239","134","SOLUTION","ADDED","02559226"
"106215","75","TABLET (EXTENDED-RELEASE)","ADDED","02558947"
"106258","141","CAPSULE (EXTENDED RELEASE)","ADDED","02559420"
"106211","134","SOLUTION","ADDED","02558904"
"42847","68","CAPSULE (SUSTAINED-RELEASE)","REMOVED","02184443"
"106282","19","EMULSION","ADDED","02559692"
"42847","141","CAPSULE (EXTENDED RELEASE)","ADDED","02184443"
"106274","134","SOLUTION","ADDED","02559609"
"106281","85","TABLET","ADDED","02559684"
