drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"107156","56","ORAL","ADDED","02569302"
"107112","56","ORAL","ADDED","02568837"
"107120","65","SUBCUTANEOUS","ADDED","02568934"
"107137","1","BLOCK/INFILTRATION","ADDED","02569108"
"107139","56","ORAL","ADDED","02569124"
"107141","65","SUBCUTANEOUS","ADDED","02569140"
"107079","56","ORAL","ADDED","02568489"
"107147","56","ORAL","ADDED","02569205"
"107171","56","ORAL","ADDED","02569477"
"107159","56","ORAL","ADDED","02569337"
"107121","80","INTRAVITREAL","ADDED","02568942"
"107144","65","SUBCUTANEOUS","ADDED","02569175"
"107111","56","ORAL","ADDED","02568829"
"107166","56","ORAL","ADDED","02569426"
"107113","56","ORAL","ADDED","02568845"
"107145","56","ORAL","ADDED","02569183"
"107132","56","ORAL","ADDED","02569043"
"107149","56","ORAL","ADDED","02569221"
"107123","22","INTRAMUSCULAR","ADDED","02568969"
"107170","56","ORAL","ADDED","02569469"
"107087","22","INTRAMUSCULAR","ADDED","02568578"
"107084","56","ORAL","ADDED","02568535"
"107169","56","ORAL","ADDED","02569450"
"107085","56","ORAL","ADDED","02568543"
"107116","70","TOPICAL","ADDED","02568888"
"107174","70","TOPICAL","ADDED","02569507"
"107158","56","ORAL","ADDED","02569329"
"107106","56","ORAL","ADDED","02568772"
"107183","56","ORAL","ADDED","02569604"
"107164","70","TOPICAL","ADDED","02569396"
"107118","70","TOPICAL","ADDED","02568918"
"107092","56","ORAL","ADDED","02568624"
"107173","56","ORAL","ADDED","02569493"
"107114","56","ORAL","ADDED","02568853"
"107117","70","TOPICAL","ADDED","02568896"
"107152","70","TOPICAL","ADDED","02569264"
"107157","56","ORAL","ADDED","02569310"
"107136","7","EPIDURAL","ADDED","02569094"
"107143","65","SUBCUTANEOUS","ADDED","02569167"
"107100","56","ORAL","ADDED","02568705"
"107091","56","ORAL","ADDED","02568616"
"107136","1","BLOCK/INFILTRATION","ADDED","02569094"
"107110","56","ORAL","ADDED","02568810"
"107102","56","ORAL","ADDED","02568721"
"107177","70","TOPICAL","ADDED","02569531"
"107142","65","SUBCUTANEOUS","ADDED","02569159"
"103667","49","INTRAVENOUS","ADDED","02547740"
"107086","56","ORAL","ADDED","02568551"
"107098","56","ORAL","ADDED","02568683"
"107154","70","TOPICAL","ADDED","02569280"
"107108","56","ORAL","ADDED","02568799"
"107140","70","TOPICAL","ADDED","02569132"
"107123","65","SUBCUTANEOUS","ADDED","02568969"
"107090","56","ORAL","ADDED","02568608"
"107078","56","ORAL","ADDED","02568470"
"107155","56","ORAL","ADDED","02569299"
"107103","56","ORAL","ADDED","02568748"
"107137","7","EPIDURAL","ADDED","02569108"
"107099","56","ORAL","ADDED","02568691"
"107192","56","ORAL","ADDED","02569701"
"107167","56","ORAL","ADDED","02569434"
"107172","56","ORAL","ADDED","02569485"
"107160","56","ORAL","ADDED","02569345"
"107115","56","ORAL","ADDED","02568861"
"107168","56","ORAL","ADDED","02569442"
"107119","65","SUBCUTANEOUS","ADDED","02568926"
"107181","65","SUBCUTANEOUS","ADDED","02569582"
"107123","49","INTRAVENOUS","ADDED","02568969"
"107109","56","ORAL","ADDED","02568802"
"107150","56","ORAL","ADDED","02569248"
"107107","56","ORAL","ADDED","02568780"
"107080","56","ORAL","ADDED","02568497"
"107122","80","INTRAVITREAL","ADDED","02568950"
"107146","56","ORAL","ADDED","02569191"
"107161","65","SUBCUTANEOUS","ADDED","02569353"
