drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"10770","active","active","00821780","JUNO PHARMA CANADA INC.","OMEGA LABORATORIES LIMITED"
"12504","active","active","01944746","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"13440","active","active","02003317","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"13546","active","active","01981242","MITEM PHARMA","NOVARTIS PHARMACEUTICALS CANADA INC"
"17113","active","active","01986988","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"37150","active","active","02218186","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"62615","active","active","02239159","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"66635","active","active","02242810","JUNO PHARMA CANADA INC.","OMEGA LABORATORIES LIMITED"
"66636","active","active","02242811","JUNO PHARMA CANADA INC.","OMEGA LABORATORIES LIMITED"
"73231","active","active","02248859","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"75087","active","active","02265400","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"76185","active","active","02276186","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"76192","active","active","02276259","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"79105","active","active","02305496","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"80637","active","active","02320959","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"83303","active","active","02347652","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"83343","active","active","02348071","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"85064","active","active","02365766","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"87537","active","active","02389908","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"91942","active","active","02435144","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"97024","active","active","02479869","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"98083","active","active","02490773","JUNO PHARMA CANADA INC.","JUNO PHARMACEUTICALS CORP."
"99196","active","active","02502380","BIOCON BIOLOGICS CANADA INC","BIOSIMILAR COLLABORATIONS IRELAND LIMITED"
"99197","active","active","02502399","BIOCON BIOLOGICS CANADA INC","BIOSIMILAR COLLABORATIONS IRELAND LIMITED"
"99198","active","active","02502402","BIOCON BIOLOGICS CANADA INC","BIOSIMILAR COLLABORATIONS IRELAND LIMITED"
"102949","active","active","02540819","JUNO PHARMA CANADA INC.","JUNO PHARMACEUTICALS CORP."
"102950","active","active","02540827","JUNO PHARMA CANADA INC.","JUNO PHARMACEUTICALS CORP."
"106400","active","active","02560992","OPELLA CANADA INC.","SANOFI CONSUMER HEALTH INC"
"98378","dormant","dormant","02493780","STRIDES PHARMA CANADA INC","MINT PHARMACEUTICALS INC"
"98379","dormant","dormant","02493799","STRIDES PHARMA CANADA INC","MINT PHARMACEUTICALS INC"
"99921","approved","approved","02509954","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"106499","approved","approved","02562073","RECKITT BENCKISER (CANADA) INC","RB HEALTH (CANADA) INC."
"106508","approved","approved","02562189","RECKITT BENCKISER (CANADA) INC","RB HEALTH (CANADA) INC."
