drug_code,drug_identification_number,current_brand_name,previous_brand_name
"1668","00266507","ADASEPT","ADASEPT LIQ 0.5%"
"10770","00821780","CALCIUM CHLORIDE INJECTION USP","CALCIJECT INJ 100MG/ML"
"13546","01981242","DESFERAL","DESFERAL 500MG"
"36767","02208903","OTRIVIN MOISTURIZING CONGESTION RELIEF","OTRIVIN MEDICATED COLD & ALLERGY RELIEF WITH MOISTURIZERS"
"41684","00653330","OTRIVIN CONGESTION RELIEF","OTRIVIN MEDICATED COLD & ALLERGY RELIEF"
"81710","02331403","OTRIVIN COMPLETE RELIEF","OTRIVIN MEDICATED COMPLETE NASAL CARE"
"83185","02346486","PRO-ATORVASTATIN","ATORVASTATIN"
"83192","02346494","PRO-ATORVASTATIN","ATORVASTATIN"
"83193","02346508","PRO-ATORVASTATIN","ATORVASTATIN"
"83194","02346516","PRO-ATORVASTATIN","ATORVASTATIN"
"97213","02481952","ALTA-DULOXETINE","DULOXETINE"
"97214","02481960","ALTA-DULOXETINE","DULOXETINE"
"98378","02493780","ACARBOSE TABLETS","MINT-ACARBOSE"
"98379","02493799","ACARBOSE TABLETS","MINT-ACARBOSE"
"106598","02563177","ESTRADIOL AND NORETHINDRONE ACETATE TABLETS","ACTIFEMME"
