drug_code,current_status,current_history_date,previous_status,previous_history_date,drug_identification_number
"100039","MARKETED","2023-06-01","APPROVED","2021-01-14","02511169"
"100509","MARKETED","2021-06-04","APPROVED","2021-05-06","02515709"
"100542","MARKETED","2023-06-08","APPROVED","2021-06-03","02516063"
"100543","MARKETED","2023-06-08","APPROVED","2021-06-03","02516071"
"100905","MARKETED","2023-06-13","APPROVED","2021-09-01","02519828"
"100909","MARKETED","2023-05-23","APPROVED","2023-05-16","02519852"
"100910","MARKETED","2023-05-23","APPROVED","2023-05-16","02519860"
"100973","MARKETED","2022-04-27","APPROVED","2021-09-21","02520532"
"100974","MARKETED","2022-04-27","APPROVED","2021-09-21","02520540"
"100975","MARKETED","2022-04-27","APPROVED","2021-09-21","02520559"
"100976","MARKETED","2022-04-27","APPROVED","2021-09-21","02520567"
"100977","MARKETED","2022-04-27","APPROVED","2021-09-21","02520575"
"100988","MARKETED","2022-08-26","APPROVED","2021-09-21","02520680"
"101035","MARKETED","2023-06-01","APPROVED","2022-03-31","02521121"
"101060","MARKETED","2023-05-31","APPROVED","2021-10-15","02521407"
"101119","MARKETED","2023-06-12","APPROVED","2021-11-04","02522020"
"101325","MARKETED","2023-06-15","APPROVED","2022-01-10","02524228"
"101463","MARKETED","2023-05-12","APPROVED","2022-03-04","02525623"
"101740","MARKETED","2023-06-20","APPROVED","2022-06-14","02528142"
"101792","MARKETED","2023-04-19","APPROVED","2022-07-07","02528738"
"101817","MARKETED","2023-06-06","APPROVED","2023-05-15","02528975"
"101818","MARKETED","2023-06-06","APPROVED","2023-05-15","02528983"
"101912","MARKETED","2023-04-28","APPROVED","2022-08-23","02529890"
"102069","MARKETED","2023-06-20","APPROVED","2022-10-03","02531577"
"102074","MARKETED","2023-05-15","APPROVED","2022-10-04","02531623"
"102123","MARKETED","2023-06-09","APPROVED","2022-10-21","02532174"
"102124","MARKETED","2023-06-08","APPROVED","2022-10-21","02532182"
"102138","MARKETED","2023-05-29","APPROVED","2022-11-02","02532344"
"102140","MARKETED","2023-05-29","APPROVED","2022-11-02","02532360"
"102159","MARKETED","2023-06-13","APPROVED","2022-11-08","02532565"
"102186","MARKETED","2023-05-24","APPROVED","2022-11-18","02532840"
"102187","MARKETED","2023-05-24","APPROVED","2022-11-18","02532867"
"102189","MARKETED","2023-05-24","APPROVED","2022-11-18","02532883"
"102221","MARKETED","2023-05-31","APPROVED","2022-12-01","02533200"
"102222","MARKETED","2023-05-31","APPROVED","2022-12-01","02533219"
"102225","MARKETED","2023-05-15","APPROVED","2022-12-02","02533243"
"102226","MARKETED","2023-04-28","APPROVED","2022-12-08","02533251"
"102358","MARKETED","2023-05-23","APPROVED","2023-01-24","02534673"
"102533","MARKETED","2023-06-05","APPROVED","2023-03-29","02536579"
"102624","MARKETED","2023-06-02","APPROVED","2023-04-28","02537532"
"102655","MARKETED","2023-06-12","APPROVED","2023-05-04","02537788"
"86441","MARKETED","2023-06-26","APPROVED","2022-10-28","02378620"
"86442","MARKETED","2023-06-26","APPROVED","2022-10-28","02378639"
"89772","MARKETED","2023-06-09","DORMANT","2018-08-01","02413051"
"89773","MARKETED","2023-06-09","DORMANT","2018-08-01","02413078"
"89774","MARKETED","2023-06-09","DORMANT","2018-08-01","02413086"
"89775","MARKETED","2023-06-09","DORMANT","2018-08-01","02413108"
"90695","MARKETED","2023-06-14","DORMANT","2022-07-06","02422255"
"91723","MARKETED","2023-06-09","DORMANT","2021-05-19","02432854"
"95364","MARKETED","2023-06-06","APPROVED","2022-02-11","02465469"
"95365","MARKETED","2023-06-06","APPROVED","2022-02-11","02465477"
"97486","MARKETED","2022-09-07","APPROVED","2019-01-10","02484560"
"97487","MARKETED","2022-09-07","APPROVED","2019-01-10","02484579"
"97709","MARKETED","2022-01-06","APPROVED","2019-03-28","02486946"
"98661","MARKETED","2023-06-13","APPROVED","2020-03-03","02496763"
"98817","MARKETED","2023-01-01","DORMANT","2022-07-20","02498383"
"99031","MARKETED","2023-05-15","APPROVED","2020-06-17","02500647"
"99032","MARKETED","2023-05-15","APPROVED","2020-06-17","02500655"
"99574","MARKETED","2023-06-01","APPROVED","2023-02-28","02506351"
"99869","MARKETED","2022-02-25","APPROVED","2020-12-04","02509393"
"100245","CANCELLED POST MARKET","2023-06-23","MARKETED","2021-04-07","02513234"
"100426","CANCELLED POST MARKET","2023-06-26","MARKETED","2021-04-13","02514869"
"100513","CANCELLED POST MARKET","2023-06-13","DORMANT","2022-06-09","02515768"
"100913","CANCELLED PRE MARKET","2023-06-13","APPROVED","2021-09-02","02519895"
"101443","CANCELLED PRE MARKET","2023-06-05","APPROVED","2022-02-16","02525410"
"10186","CANCELLED POST MARKET","2023-06-06","DORMANT","2018-06-26","00652806"
"11012","CANCELLED POST MARKET","2023-06-06","DORMANT","2018-06-26","00896454"
"1103","CANCELLED POST MARKET","2023-06-09","DORMANT","2021-07-13","00221570"
"13515","CANCELLED POST MARKET","2023-06-06","DORMANT","2018-06-26","01985213"
"79375","CANCELLED PRE MARKET","2023-06-01","APPROVED","2008-03-31","02308061"
"79376","CANCELLED PRE MARKET","2023-06-01","APPROVED","2008-03-31","02308088"
"79377","CANCELLED PRE MARKET","2023-06-01","APPROVED","2008-03-31","02308096"
"1581","CANCELLED POST MARKET","2023-04-21","MARKETED","2016-11-10","00256536"
"79378","CANCELLED PRE MARKET","2023-06-01","APPROVED","2008-03-31","02308118"
"16053","CANCELLED POST MARKET","2023-06-06","MARKETED","1994-12-31","02094835"
"16486","CANCELLED POST MARKET","2023-06-06","DORMANT","2018-06-26","02072378"
"79379","CANCELLED PRE MARKET","2023-06-01","APPROVED","2008-03-31","02308126"
"3307","CANCELLED POST MARKET","2023-06-01","DORMANT","2020-06-02","00470988"
"37795","CANCELLED POST MARKET","2023-03-31","MARKETED","1996-06-02","02207389"
"4716","CANCELLED POST MARKET","2023-06-06","DORMANT","2018-06-26","00552968"
"4717","CANCELLED POST MARKET","2023-06-06","DORMANT","2018-06-26","00552984"
"5167","CANCELLED POST MARKET","2023-06-05","DORMANT","2018-06-26","00575038"
"5373","CANCELLED POST MARKET","2023-06-06","DORMANT","2018-06-26","00596639"
"5621","CANCELLED POST MARKET","2023-06-05","DORMANT","2019-06-18","00610569"
"5663","CANCELLED POST MARKET","2023-06-05","DORMANT","2018-06-26","00611255"
"5744","CANCELLED POST MARKET","2023-06-05","DORMANT","2018-06-26","00616923"
"5745","CANCELLED POST MARKET","2023-06-05","DORMANT","2018-06-26","00616931"
"5879","CANCELLED POST MARKET","2023-06-05","DORMANT","2018-06-26","00613045"
"5880","CANCELLED POST MARKET","2023-06-05","DORMANT","2018-06-26","00613908"
"6070","CANCELLED POST MARKET","2023-06-06","DORMANT","2018-06-26","00613916"
"6071","CANCELLED POST MARKET","2023-06-05","DORMANT","2018-06-26","00613932"
"6072","CANCELLED POST MARKET","2023-06-05","DORMANT","2018-06-26","00620173"
"6073","CANCELLED POST MARKET","2023-06-05","DORMANT","2018-06-26","00626368"
"61646","CANCELLED POST MARKET","2023-06-02","MARKETED","1998-08-14","02238251"
"6277","CANCELLED POST MARKET","2023-06-06","DORMANT","2018-06-26","00613924"
"6563","CANCELLED POST MARKET","2023-06-06","DORMANT","2018-06-26","00613940"
"6564","CANCELLED POST MARKET","2023-06-05","DORMANT","2018-06-26","00648124"
"6566","CANCELLED POST MARKET","2023-06-05","DORMANT","2018-06-26","00652814"
"6693","CANCELLED POST MARKET","2023-06-05","DORMANT","2018-06-26","00690473"
"6694","CANCELLED POST MARKET","2023-06-06","DORMANT","2018-06-26","00617075"
"68682","CANCELLED PRE MARKET","2023-06-27","APPROVED","2015-01-23","02244694"
"70011","CANCELLED POST MARKET","2023-06-26","MARKETED","2014-06-01","02245894"
"73527","CANCELLED POST MARKET","2022-12-21","MARKETED","2004-03-17","02250470"
"73528","CANCELLED POST MARKET","2023-05-15","MARKETED","2004-03-17","02250489"
"73591","CANCELLED POST MARKET","2022-12-31","MARKETED","2004-05-01","02250985"
"75311","CANCELLED POST MARKET","2023-05-24","MARKETED","2022-06-21","02267691"
"76496","CANCELLED POST MARKET","2023-06-23","MARKETED","2010-01-08","02279355"
"7795","CANCELLED POST MARKET","2023-06-06","DORMANT","2018-06-26","00702935"
"79216","CANCELLED POST MARKET","2022-08-02","MARKETED","2009-02-02","02306468"
"79380","CANCELLED PRE MARKET","2023-06-01","APPROVED","2008-03-31","02308134"
"82691","CANCELLED POST MARKET","2023-06-05","MARKETED","2010-03-18","02341395"
"82499","CANCELLED PRE MARKET","2023-06-27","APPROVED","2009-12-14","02339374"
"82500","CANCELLED PRE MARKET","2023-06-27","APPROVED","2009-12-14","02339382"
"82689","CANCELLED POST MARKET","2023-06-05","MARKETED","2010-03-18","02341379"
"82690","CANCELLED POST MARKET","2023-06-05","MARKETED","2010-03-18","02341387"
"82692","CANCELLED POST MARKET","2023-06-05","MARKETED","2010-03-18","02341409"
"82693","CANCELLED POST MARKET","2023-06-05","MARKETED","2010-03-18","02341417"
"82759","CANCELLED POST MARKET","2020-08-01","DORMANT","2020-07-31","02342073"
"8576","CANCELLED POST MARKET","2023-06-05","DORMANT","2017-07-14","00731110"
"89292","CANCELLED PRE MARKET","2023-06-07","APPROVED","2018-09-12","02408171"
"89293","CANCELLED PRE MARKET","2023-06-07","APPROVED","2018-09-12","02408198"
"89294","CANCELLED PRE MARKET","2023-06-07","APPROVED","2018-09-12","02408201"
