ccdd_code,ccdd_formal_name,ccdd_type,policy_type,policy_reference,special_groupings_status,special_groupings_status_effective_time,changes
9012441,methylphenidate hydrochloride 85 mg modified-release oral capsule,NTP,500004,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Inactive,20260105,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20260105"
9006201,alcohol anhydrous 0.25 mL per 5 mL and doxylamine succinate 6 mg per 5 mL and etafedrin hydrochloride 16.65 mg per 5 mL and hydrocodone bitartrate 1.65 mg per 5 mL and sodium citrate 200 mg per 5 mL syrup,NTP,500008,https://www.tppalberta.ca/medication-lists,Inactive,20260105,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20240201"" -> 20260105"
3cda70353474b553708e7ed5fc443433,alcohol anhydrous and doxylamine and etafedrine and hydrocodone and sodium citrate,TM,500002,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
02553074,JORNAY PM (methylphenidate hydrochloride 20 mg modified-release oral capsule) KNIGHT THERAPEUTICS INC.,MP,500004,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,"ccdd_formal_name: ""JORNAY PM (methylphenidate hydrochloride 20 mg NA) KNIGHT THERAPEUTICS INC."" -> JORNAY PM (methylphenidate hydrochloride 20 mg modified-release oral capsule) KNIGHT THERAPEUTICS INC."
8000779,alcohol anhydrous and doxylamine and etafedrin and hydrocodone and sodium citrate,TM,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20260105,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20260105"
02550431,"KETAMINE HYDROCHLORIDE INJECTION, USP (ketamine (ketamine hydrochloride) 200 mg per 20 mL solution for injection vial) FRESENIUS KABI CANADA LTD",MP,500002,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
02470349,FOQUEST (methylphenidate hydrochloride 85 mg prolonged-release oral capsule) ELVIUM LIFE SCIENCES,MP,500004,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,"ccdd_formal_name: ""FOQUEST (methylphenidate hydrochloride 85 mg modified-release oral capsule) ELVIUM LIFE SCIENCES"" -> FOQUEST (methylphenidate hydrochloride 85 mg prolonged-release oral capsule) ELVIUM LIFE SCIENCES"
3c31a878a1cc6caa8887e72a8907d54b,methylphenidate hydrochloride 60 mg modified-release oral capsule,NTP,500004,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
89e349bae013ee5cf454f6748d294399,methylphenidate hydrochloride 35 mg prolonged-release oral capsule,NTP,500004,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
fc761d343ef18c3c25af866c61769024,alcohol anhydrous 0.25 mL per 5 mL and doxylamine succinate 6 mg per 5 mL and etafedrine hydrochloride 16.65 mg per 5 mL and hydrocodone bitartrate 1.65 mg per 5 mL and sodium citrate 200 mg per 5 mL syrup,NTP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Active,20170919,ADDED
