mp_code,mp_formal_name,changes
"02373041","GD-LATANOPROST (latanoprost 50 mcg per mL ophthalmic drops) UPJOHN CANADA ULC","mp_formal_name: ""GD-LATANOPROST (latanoprost 50 mcg per mL ophthalmic drops) GENMED A DIVISION OF PFIZER CANADA ULC"" -> ""GD-LATANOPROST (latanoprost 50 mcg per mL ophthalmic drops) UPJOHN CANADA ULC"""
"02373068","GD-LATANOPROST/TIMOLOL (latanoprost 50 mcg per mL and timolol (timolol maleate) 5 mg per mL ophthalmic drops) UPJOHN CANADA ULC","mp_formal_name: ""GD-LATANOPROST/TIMOLOL (latanoprost 50 mcg per mL and timolol (timolol maleate) 5 mg per mL ophthalmic drops) GENMED A DIVISION OF PFIZER CANADA ULC"" -> ""GD-LATANOPROST/TIMOLOL (latanoprost 50 mcg per mL and timolol (timolol maleate) 5 mg per mL ophthalmic drops) UPJOHN CANADA ULC"""
"02380072","TARO-VENLAFAXINE XR (venlafaxine (venlafaxine hydrochloride) 37.5 mg prolonged-release oral capsule) SUN PHARMA CANADA INC","mp_formal_name: ""RAN-VENLAFAXINE XR (venlafaxine (venlafaxine hydrochloride) 37.5 mg prolonged-release oral capsule) RANBAXY PHARMACEUTICALS CANADA INC."" -> ""TARO-VENLAFAXINE XR (venlafaxine (venlafaxine hydrochloride) 37.5 mg prolonged-release oral capsule) SUN PHARMA CANADA INC"""
"02380080","TARO-VENLAFAXINE XR (venlafaxine (venlafaxine hydrochloride) 75 mg prolonged-release oral capsule) SUN PHARMA CANADA INC","mp_formal_name: ""RAN-VENLAFAXINE XR (venlafaxine (venlafaxine hydrochloride) 75 mg prolonged-release oral capsule) RANBAXY PHARMACEUTICALS CANADA INC."" -> ""TARO-VENLAFAXINE XR (venlafaxine (venlafaxine hydrochloride) 75 mg prolonged-release oral capsule) SUN PHARMA CANADA INC"""
"02380099","TARO-VENLAFAXINE XR (venlafaxine (venlafaxine hydrochloride) 150 mg prolonged-release oral capsule) SUN PHARMA CANADA INC","mp_formal_name: ""RAN-VENLAFAXINE XR (venlafaxine (venlafaxine hydrochloride) 150 mg prolonged-release oral capsule) RANBAXY PHARMACEUTICALS CANADA INC."" -> ""TARO-VENLAFAXINE XR (venlafaxine (venlafaxine hydrochloride) 150 mg prolonged-release oral capsule) SUN PHARMA CANADA INC"""
"02381702","ACT RIZATRIPTAN (rizatriptan (rizatriptan benzoate) 10 mg oral tablet) TEVA CANADA LIMITED","mp_formal_name: ""ACT RIZATRIPTAN (rizatriptan (rizatriptan benzoate) 10 mg oral tablet) ACTAVIS PHARMA COMPANY"" -> ""ACT RIZATRIPTAN (rizatriptan (rizatriptan benzoate) 10 mg oral tablet) TEVA CANADA LIMITED"""
"02393050","PREZISTA (darunavir (darunavir ethanolate) 800 mg oral tablet) JANSSEN INC","ntp_code: ""9014294"" -> ""9005128"""
"02393581","ACT NABILONE (nabilone 0.5 mg oral capsule) TEVA CANADA LIMITED","mp_formal_name: ""ACT NABILONE (nabilone 0.5 mg oral capsule) ACTAVIS PHARMA COMPANY"" -> ""ACT NABILONE (nabilone 0.5 mg oral capsule) TEVA CANADA LIMITED"""
"02393603","ACT NABILONE (nabilone 1 mg oral capsule) TEVA CANADA LIMITED","mp_formal_name: ""ACT NABILONE (nabilone 1 mg oral capsule) ACTAVIS PHARMA COMPANY"" -> ""ACT NABILONE (nabilone 1 mg oral capsule) TEVA CANADA LIMITED"""
"02401193","ADVIL COLD, COUGH & FLU NIGHTTIME (diphenhydramine hydrochloride 25 mg and ibuprofen 200 mg oral capsule) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.","mp_formal_name: ""ADVIL COLD, COUGH & FLU NIGHTTIME (diphenhydramine hydrochloride 25 mg and ibuprofen 200 mg oral capsule) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC"" -> ""ADVIL COLD, COUGH & FLU NIGHTTIME (diphenhydramine hydrochloride 25 mg and ibuprofen 200 mg oral capsule) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC."""
"02404656","ACT MOXIFLOXACIN (moxifloxacin (moxifloxacin hydrochloride) 0.5 % ophthalmic drops) TEVA CANADA LIMITED","mp_formal_name: ""ACT MOXIFLOXACIN (moxifloxacin (moxifloxacin hydrochloride) 0.5 % ophthalmic drops) ACTAVIS PHARMA COMPANY"" -> ""ACT MOXIFLOXACIN (moxifloxacin (moxifloxacin hydrochloride) 0.5 % ophthalmic drops) TEVA CANADA LIMITED"""
"02413299","SIGNIFOR (pasireotide (pasireotide diaspartate) 0.3 mg per 1 mL solution for injection ampoule) RECORDATI RARE DISEASES CANADA INC","mp_formal_name: ""SIGNIFOR (pasireotide (pasireotide diaspartate) 0.3 mg per 1 mL solution for injection ampoule) NOVARTIS PHARMACEUTICALS CANADA INC"" -> ""SIGNIFOR (pasireotide (pasireotide diaspartate) 0.3 mg per 1 mL solution for injection ampoule) RECORDATI RARE DISEASES CANADA INC"""
"02413302","SIGNIFOR (pasireotide (pasireotide diaspartate) 0.6 mg per 1 mL solution for injection ampoule) RECORDATI RARE DISEASES CANADA INC","mp_formal_name: ""SIGNIFOR (pasireotide (pasireotide diaspartate) 0.6 mg per 1 mL solution for injection ampoule) NOVARTIS PHARMACEUTICALS CANADA INC"" -> ""SIGNIFOR (pasireotide (pasireotide diaspartate) 0.6 mg per 1 mL solution for injection ampoule) RECORDATI RARE DISEASES CANADA INC"""
"02413310","SIGNIFOR (pasireotide (pasireotide diaspartate) 0.9 mg per 1 mL solution for injection ampoule) RECORDATI RARE DISEASES CANADA INC","mp_formal_name: ""SIGNIFOR (pasireotide (pasireotide diaspartate) 0.9 mg per 1 mL solution for injection ampoule) NOVARTIS PHARMACEUTICALS CANADA INC"" -> ""SIGNIFOR (pasireotide (pasireotide diaspartate) 0.9 mg per 1 mL solution for injection ampoule) RECORDATI RARE DISEASES CANADA INC"""
"02416530","PREZISTA (darunavir (darunavir ethanolate) 100 mg per mL oral suspension) JANSSEN INC","ntp_code: ""9014290"" -> ""9005560"""
"02426501","PREZCOBIX (cobicistat 150 mg and darunavir (darunavir ethanolate) 800 mg oral tablet) JANSSEN INC","ntp_code: ""9014285"" -> ""9005578"""
