drug_code,current_status,current_history_date,previous_status,previous_history_date,drug_identification_number
"5433","MARKETED","2021-01-06","DORMANT","2020-11-05","00441651"
"5917","MARKETED","2020-12-28","DORMANT","2020-04-04","00585114"
"79388","MARKETED","2021-01-18","DORMANT","2020-07-30","02308215"
"85606","MARKETED","2020-09-23","DORMANT","2018-06-29","02370867"
"86665","MARKETED","2021-01-22","APPROVED","2012-03-25","02380897"
"89119","MARKETED","2021-01-25","APPROVED","2019-06-17","02406497"
"89120","MARKETED","2021-01-25","APPROVED","2019-06-17","02406500"
"91781","MARKETED","2020-08-01","APPROVED","2020-02-04","02433435"
"91782","MARKETED","2020-08-01","APPROVED","2020-02-04","02433451"
"93702","MARKETED","2021-01-21","APPROVED","2016-03-29","02450895"
"94139","MARKETED","2020-12-14","APPROVED","2020-07-15","02454696"
"94387","MARKETED","2020-12-12","DORMANT","2019-07-15","02456850"
"96719","MARKETED","2021-01-19","APPROVED","2018-05-28","02476177"
"96720","MARKETED","2021-01-19","APPROVED","2018-05-28","02476185"
"97091","MARKETED","2020-04-16","APPROVED","2018-08-24","02480387"
"97566","MARKETED","2020-12-22","DORMANT","2020-07-27","02485419"
"97661","MARKETED","2021-01-01","APPROVED","2019-03-06","02486415"
"97838","MARKETED","2020-12-14","APPROVED","2020-01-23","02488280"
"98106","MARKETED","2020-03-17","APPROVED","2019-07-29","02491044"
"98127","MARKETED","2021-01-05","APPROVED","2019-08-02","02491265"
"98367","MARKETED","2021-01-07","APPROVED","2019-11-06","02493675"
"98373","MARKETED","2020-07-06","APPROVED","2019-11-18","02493748"
"98374","MARKETED","2020-07-06","APPROVED","2019-11-18","02493756"
"98493","MARKETED","2020-12-15","APPROVED","2019-12-16","02494965"
"98601","MARKETED","2021-01-13","APPROVED","2020-02-10","02496135"
"98614","MARKETED","2020-12-15","APPROVED","2020-02-13","02496275"
"98615","MARKETED","2020-12-21","APPROVED","2020-02-13","02496283"
"98643","MARKETED","2020-12-26","APPROVED","2020-02-21","02496577"
"98666","MARKETED","2021-01-12","APPROVED","2020-03-05","02496828"
"98700","MARKETED","2021-01-19","APPROVED","2020-04-07","02497131"
"98749","MARKETED","2020-12-01","APPROVED","2020-04-01","02497697"
"98776","MARKETED","2020-12-08","APPROVED","2020-04-15","02497972"
"98899","MARKETED","2020-11-04","APPROVED","2020-05-19","02499258"
"98900","MARKETED","2020-11-04","APPROVED","2020-05-19","02499266"
"99049","MARKETED","2020-12-10","APPROVED","2020-06-19","02500833"
"99114","MARKETED","2021-01-04","APPROVED","2020-07-03","02501538"
"99149","MARKETED","2020-12-02","APPROVED","2020-07-13","02501880"
"99162","MARKETED","2021-01-19","APPROVED","2020-07-28","02502038"
"99186","MARKETED","2020-11-03","APPROVED","2020-07-22","02502283"
"99216","MARKETED","2021-01-14","APPROVED","2020-07-23","02502593"
"99217","MARKETED","2021-01-14","APPROVED","2020-07-23","02502607"
"99219","MARKETED","2021-01-06","APPROVED","2020-07-22","02502623"
"99244","MARKETED","2021-01-12","APPROVED","2020-07-30","02502917"
"99264","MARKETED","2021-01-21","APPROVED","2020-08-06","02503131"
"99291","MARKETED","2020-12-21","APPROVED","2020-08-11","02503433"
"99292","MARKETED","2020-12-21","APPROVED","2020-08-11","02503441"
"99331","MARKETED","2020-11-23","APPROVED","2020-08-25","02503875"
"99332","MARKETED","2020-11-23","APPROVED","2020-08-25","02503883"
"99377","MARKETED","2021-01-04","APPROVED","2020-08-26","02504340"
"99379","MARKETED","2020-12-22","APPROVED","2020-08-28","02504383"
"99448","MARKETED","2021-01-11","APPROVED","2020-09-17","02505134"
"99498","MARKETED","2021-01-18","APPROVED","2020-09-25","02505614"
"99556","MARKETED","2021-01-18","APPROVED","2020-10-28","02506238"
"99595","MARKETED","2021-01-25","APPROVED","2020-10-19","02506599"
"99927","MARKETED","2020-12-23","AUTHORIZED BY INTERIM ORDER","2020-12-23","02510014"
"13796","CANCELLED POST MARKET","2020-12-22","MARKETED","2000-05-02","02020017"
"16103","CANCELLED POST MARKET","2020-12-20","MARKETED","2020-10-02","02014165"
"16482","CANCELLED POST MARKET","2020-12-08","MARKETED","2020-10-02","02014181"
"19098","CANCELLED POST MARKET","2020-12-09","MARKETED","1995-02-28","02155990"
"60957","CANCELLED POST MARKET","2020-12-09","MARKETED","1998-05-05","02237618"
"62904","CANCELLED PRE MARKET","2021-01-19","APPROVED","1999-01-14","02239431"
"74074","CANCELLED POST MARKET","2020-10-21","MARKETED","2015-01-09","02255545"
"74075","CANCELLED POST MARKET","2020-10-21","MARKETED","2015-01-09","02255553"
"76489","CANCELLED POST MARKET","2020-01-15","MARKETED","2006-04-10","02279320"
"84644","CANCELLED POST MARKET","2021-01-07","MARKETED","2015-09-30","02361361"
