drug_code,mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
9,00015741,TAPAZOLE (méthimazole 5 mg comprimé oral) KNIGHT THERAPEUTICS INC.,méthimazole 5 mg comprimé oral,méthimazole,"mp_fr_description: ""TAPAZOLE (méthimazole 5 mg comprimé oral) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."" -> ""TAPAZOLE (méthimazole 5 mg comprimé oral) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲."""
631,00074462,"LOCACORTEN VIOFORM (clioquinol 3 % et pivalate de fluméthasone 0,02 % crème cutanée) KNIGHT THERAPEUTICS INC.","clioquinol 3 % et pivalate de fluméthasone 0,02 % crème cutanée",clioquinol et fluméthasone,"mp_fr_description: ""LOCACORTEN VIOFORM (clioquinol 3 % et pivalate de fluméthasone 0,02 % crème cutanée) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."" -> ""LOCACORTEN VIOFORM (clioquinol 3 % et pivalate de fluméthasone 0,02 % crème cutanée) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲."""
868,00074454,"LOCACORTEN VIOFORM EARDROPS (clioquinol 1 % et pivalate de fluméthasone 0,02 % gouttes otiques) KNIGHT THERAPEUTICS INC.","clioquinol 1 % et pivalate de fluméthasone 0,02 % gouttes otiques",clioquinol et fluméthasone,"mp_fr_description: ""LOCACORTEN VIOFORM EARDROPS (clioquinol 1 % et pivalate de fluméthasone 0,02 % gouttes otiques) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."" -> ""LOCACORTEN VIOFORM EARDROPS (clioquinol 1 % et pivalate de fluméthasone 0,02 % gouttes otiques) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲."""
4222,00511552,SANDOMIGRAN DS (pizotifène (malate de pizotifène) 1 mg comprimé oral) KNIGHT THERAPEUTICS INC.,pizotifène (malate de pizotifène) 1 mg comprimé oral,pizotifène,"mp_fr_description: ""SANDOMIGRAN DS (pizotifène (malate de pizotifène) 1 mg comprimé oral) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."" -> ""SANDOMIGRAN DS (pizotifène (malate de pizotifène) 1 mg comprimé oral) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲."""
7084,00708925,MEN'S ROGAINE (minoxidil 20 mg par mL solution pour application cutanée) KENVUE CANADA INC.,minoxidil 20 mg par mL solution pour application cutanée,minoxidil,"mp_fr_description: ""MEN'S ROGAINE (minoxidil 20 mg par mL solution pour application cutanée) J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""MEN'S ROGAINE (minoxidil 20 mg par mL solution pour application cutanée) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
8042,00727520,HEPARIN LEO 100UNIT/ML (héparine sodique 100 unité par mL solution de rinçage 10 mL fiole) LEO PHARMA INC,héparine sodique 100 unité par mL solution de rinçage 10 mL fiole,héparine,"mp_fr_description: ""HEPARIN LEO 100UNIT/ML (héparine sodique 1000̲ ̲u̲n̲i̲t̲é̲ ̲p̲a̲r̲ ̲1̲0̲ ̲m̲L̲ ̲s̲o̲l̲u̲t̲i̲o̲n̲ ̲i̲n̲j̲e̲c̲t̲a̲b̲l̲e̲ fiole) LEO PHARMA INC"" -> ""HEPARIN LEO 100UNIT/ML (héparine sodique 100 ̲u̲n̲i̲t̲é̲ ̲p̲a̲r̲ ̲m̲L̲ ̲s̲o̲l̲u̲t̲i̲o̲n̲ ̲d̲e̲ ̲r̲i̲n̲ç̲a̲g̲e̲ ̲1̲0̲ ̲m̲L̲ fiole) LEO PHARMA INC""
ntp_code: ""9014221"" -> ""9015303""
ntp_fr_description: ""héparine sodique 1000̲ ̲u̲n̲i̲t̲é̲ ̲p̲a̲r̲ ̲1̲0̲ ̲m̲L̲ ̲s̲o̲l̲u̲t̲i̲o̲n̲ ̲i̲n̲j̲e̲c̲t̲a̲b̲l̲e̲ fiole"" -> ""héparine sodique 100 ̲u̲n̲i̲t̲é̲ ̲p̲a̲r̲ ̲m̲L̲ ̲s̲o̲l̲u̲t̲i̲o̲n̲ ̲d̲e̲ ̲r̲i̲n̲ç̲a̲g̲e̲ ̲1̲0̲ ̲m̲L̲ fiole"""
11862,01925199,BENZAC W WASH GEL 10% (peroxyde de benzoyle 10 % gel cutané) GALDERMA CANADA INC.,peroxyde de benzoyle 10 % gel cutané,peroxyde de benzoyle,"mp_fr_description: ""BENZAC W WASH GEL 10% (peroxyde de benzoyle 10 % gel cutané) GALDERMA CANADA INC"" -> ""BENZAC W WASH GEL 10% (peroxyde de benzoyle 10 % gel cutané) GALDERMA CANADA INC.̲"""
11974,01945157,CLARITIN ALLERGY + SINUS (loratadine 5 mg et sulfate de pseudoéphédrine 120 mg comprimé oral à libération prolongée) BAYER INC,loratadine 5 mg et sulfate de pseudoéphédrine 120 mg comprimé oral à libération prolongée,loratadine et pseudoéphédrine,"mp_fr_description: ""CLARITIN ALLERGY + SINUS (loratadine 5 mg et sulfate de pseudoéphédrine 120 mg comprimé oral à libération m̲o̲d̲i̲f̲i̲ée) BAYER INC"" -> ""CLARITIN ALLERGY + SINUS (loratadine 5 mg et sulfate de pseudoéphédrine 120 mg comprimé oral à libération p̲r̲o̲l̲o̲n̲g̲ée) BAYER INC""
ntp_code: ""9002379"" -> ""9015307""
ntp_fr_description: ""loratadine 5 mg et sulfate de pseudoéphédrine 120 mg comprimé oral à libération m̲o̲d̲i̲f̲i̲ée"" -> ""loratadine 5 mg et sulfate de pseudoéphédrine 120 mg comprimé oral à libération p̲r̲o̲l̲o̲n̲g̲ée"""
12745,01947931,DUVOID (chlorure de béthanéchol 25 mg comprimé oral) KNIGHT THERAPEUTICS INC.,chlorure de béthanéchol 25 mg comprimé oral,béthanéchol,"mp_fr_description: ""DUVOID (chlorure de béthanéchol 25 mg comprimé oral) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."" -> ""DUVOID (chlorure de béthanéchol 25 mg comprimé oral) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲."""
12746,01947958,DUVOID (chlorure de béthanéchol 10 mg comprimé oral) KNIGHT THERAPEUTICS INC.,chlorure de béthanéchol 10 mg comprimé oral,béthanéchol,"mp_fr_description: ""DUVOID (chlorure de béthanéchol 10 mg comprimé oral) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."" -> ""DUVOID (chlorure de béthanéchol 10 mg comprimé oral) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲."""
