tm_code,tm_formal_name,tm_fr_description,changes
8002567,pirtobrutinib,pirtobrutinib,ADDED
8001951,taliglucerase alfa,taliglucérase alfa,"tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""20140908"" -> ""20250505"""
8000779,alcohol anhydrous and doxylamine and etafedrine and hydrocodone and sodium citrate,alcool anhydre et doxylamine et étafédrine et hydrocodone et citrate de sodium,"tm_formal_name: ""alcohol anhydrous and doxylamine and etafedrin and hydrocodone and sodium citrate"" -> ""alcohol anhydrous and doxylamine and etafedrine̲ and hydrocodone and sodium citrate"""
8002565,efanesoctocog alfa,efanesoctocog alfa,ADDED
8002561,retifanlimab,rétifanlimab,ADDED
8002566,lecanemab,lécanémab,ADDED
8002569,sepiapterin,sépiaptérine,ADDED
8002564,cipaglucosidase alfa,cipaglucosidase alfa,ADDED
8002563,bismuth oxide and metronidazole and tetracycline,oxyde de bismuth et métronidazole et tétracycline,ADDED
8000886,acetylsalicylic acid and citric acid and sodium bicarbonate,acide acétylsalicylique et acide citrique et bicarbonate de sodium,"tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""19951231"" -> ""20231221"""
8002568,seladelpar,séladelpar,ADDED
