ntp_code,ntp_formal_name,ntp_fr_description,changes
9015306,loratadine 10 mg and pseudoephedrine sulfate 240 mg prolonged-release oral tablet,loratadine 10 mg et sulfate de pseudoéphédrine 240 mg comprimé oral à libération prolongée,ADDED
9015329,"ciprofloxacin (ciprofloxacin, ciprofloxacin hydrochloride) 1000 mg prolonged-release oral tablet","ciprofloxacine (ciprofloxacine, chlorhydrate de ciprofloxacine) 1000 mg comprimé oral à libération prolongée",ADDED
9015304,lecanemab 200 mg per 2 mL solution for injection vial,lécanémab 200 mg par 2 mL solution injectable fiole,ADDED
9015318,methylphenidate hydrochloride 80 mg modified-release oral capsule,chlorhydrate de méthylphénidate 80 mg capsule orale à libération modifiée,ADDED
9014221,heparin sodium 1000 unit per 10 mL solution for injection vial,héparine sodique 1000 unité par 10 mL solution injectable fiole,"ntp_status: ""ACTIVE"" -> ""DEPREC""
ntp_status_effective_time: ""19841231"" -> ""20260105"""
9015314,methylphenidate hydrochloride 45 mg prolonged-release oral capsule,chlorhydrate de méthylphénidate 45 mg capsule orale à libération prolongée,ADDED
9015317,methylphenidate hydrochloride 70 mg prolonged-release oral capsule,chlorhydrate de méthylphénidate 70 mg capsule orale à libération prolongée,ADDED
9015319,methylphenidate hydrochloride 85 mg prolonged-release oral capsule,chlorhydrate de méthylphénidate 85 mg capsule orale à libération prolongée,ADDED
9015324,retifanlimab 500 mg per 20 mL solution for injection vial,rétifanlimab 500 mg par 20 mL solution injectable fiole,ADDED
9012438,methylphenidate hydrochloride 45 mg modified-release oral capsule,chlorhydrate de méthylphénidate 45 mg capsule orale à libération modifiée,"ntp_status: ""ACTIVE"" -> ""DEPREC""
ntp_status_effective_time: ""20171214"" -> ""20260105"""
9012437,methylphenidate hydrochloride 35 mg modified-release oral capsule,chlorhydrate de méthylphénidate 35 mg capsule orale à libération modifiée,"ntp_status: ""ACTIVE"" -> ""DEPREC""
ntp_status_effective_time: ""20171214"" -> ""20260105"""
9015326,seladelpar (seladelpar lysine) 10 mg oral capsule,séladelpar (séladelpar lysine) 10 mg capsule orale,ADDED
9015316,methylphenidate hydrochloride 60 mg modified-release oral capsule,chlorhydrate de méthylphénidate 60 mg capsule orale à libération modifiée,ADDED
9015305,lecanemab 500 mg per 5 mL solution for injection vial,lécanémab 500 mg par 5 mL solution injectable fiole,ADDED
9014452,"ciprofloxacin (ciprofloxacin, ciprofloxacin hydrochloride) 1000 mg modified-release oral tablet","ciprofloxacine (ciprofloxacine, chlorhydrate de ciprofloxacine) 1000 mg comprimé oral à libération modifiée","ntp_status: ""INACTIVE"" -> ""DEPREC""
ntp_status_effective_time: ""20220301"" -> ""20260105"""
9013314,methoxsalen 200 mcg per 10 mL solution for injection vial,méthoxsalène 200 mcg par 10 mL solution injectable fiole,"ntp_status: ""ACTIVE"" -> ""DEPREC""
ntp_status_effective_time: ""20131209"" -> ""20260105"""
9015298,efanesoctocog alfa 3000 unit per vial powder for solution for injection with diluent solution syringe,efanesoctocog alfa 3000 unité par fiole poudre pour solution injectable avec solution diluante seringue,ADDED
9015297,efanesoctocog alfa 1000 unit per vial powder for solution for injection with diluent solution syringe,efanesoctocog alfa 1000 unité par fiole poudre pour solution injectable avec solution diluante seringue,ADDED
9015291,acetylsalicylic acid 25 mg and dipyridamole 200 mg prolonged-release oral capsule,acide acétylsalicylique 25 mg et dipyridamole 200 mg capsule orale à libération prolongée,ADDED
9012439,methylphenidate hydrochloride 55 mg modified-release oral capsule,chlorhydrate de méthylphénidate 55 mg capsule orale à libération modifiée,"ntp_status: ""ACTIVE"" -> ""DEPREC""
ntp_status_effective_time: ""20171214"" -> ""20260105"""
9015293,bismuth oxide (bismuth subcitrate potassium) 40 mg and metronidazole 125 mg and tetracycline hydrochloride 125 mg oral capsule,oxyde de bismuth (sous-citrate de bismuth potassique) 40 mg et métronidazole 125 mg et chlorhydrate de tétracycline 125 mg capsule orale,ADDED
9005182,raltegravir (raltegravir potassium) 100 mg chewable tablet,raltégravir (raltégravir potassique) 100 mg comprimé à croquer,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""20130211"" -> ""20240712"""
9015296,dutasteride 0.5 mg and tamsulosin hydrochloride 0.4 mg prolonged-release oral capsule,"dutastéride 0,5 mg et chlorhydrate de tamsulosine 0,4 mg capsule orale à libération prolongée",ADDED
9015325,risdiplam 5 mg oral tablet,risdiplam 5 mg comprimé oral,ADDED
9015323,pirtobrutinib 50 mg oral tablet,pirtobrutinib 50 mg comprimé oral,ADDED
9004801,acetylsalicylic acid 325 mg and citric acid 1000 mg and sodium bicarbonate 1916 mg effervescent oral tablet,acide acétylsalicylique 325 mg et acide citrique 1000 mg et bicarbonate de sodium 1916 mg comprimé oral effervescent,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19951231"" -> ""20231221"""
