drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"9940","active","active","00782491","AA PHARMA INC","APOTEX INC"
"10034","active","active","00782483","AA PHARMA INC","APOTEX INC"
"10706","active","active","00778869","JUNO PHARMA CANADA INC.","OMEGA LABORATORIES LIMITED"
"12743","active","active","01946986","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"14492","active","active","02036312","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"73565","active","active","02250705","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"75302","active","active","02267616","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"84760","active","active","02362597","JUNO PHARMA CANADA INC.","OMEGA LABORATORIES LIMITED"
"88626","active","active","02401347","PFIZER CANADA ULC","SEAGEN INC."
"103029","active","active","02541742","KNIGHT THERAPEUTICS INC.","SUMITOMO PHARMA SWITZERLAND GMBH"
"27528","dormant","dormant","02061597","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"41867","dormant","dormant","00884553","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"42066","dormant","dormant","00875996","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"72786","dormant","dormant","02248435","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"97796","dormant","dormant","02487802","ZYDUS PHARMACEUTICALS (CANADA) INC","MARCAN PHARMACEUTICALS INC"
"97797","dormant","dormant","02487810","ZYDUS PHARMACEUTICALS (CANADA) INC","MARCAN PHARMACEUTICALS INC"
"97798","dormant","dormant","02487829","ZYDUS PHARMACEUTICALS (CANADA) INC","MARCAN PHARMACEUTICALS INC"
"97799","dormant","dormant","02487837","ZYDUS PHARMACEUTICALS (CANADA) INC","MARCAN PHARMACEUTICALS INC"
"102913","approved","approved","02540436","FUSION ANIMAL HEALTH INC.","VITA BEE HEALTH CANADA LTD."
"102914","approved","approved","02540444","FUSION ANIMAL HEALTH INC.","VITA BEE HEALTH CANADA LTD."
"104189","approved","approved","02552930","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
