drug_code,drug_identification_number,current_brand_name,previous_brand_name
"2426","00370991","PRO-AMITRIPTYLINE","AMITRIPTYLINE-10"
"2427","00371009","PRO-AMITRIPTYLINE","AMITRIPTYLINE-25"
"3141","00456349","PRO-AMITRIPTYLINE","AMITRIPTYLINE-50"
"9940","00782491","AA-VERAP","APO-VERAP TABLET 120MG"
"10034","00782483","AA-VERAP","APO-VERAP TAB 80MG"
"16462","02100606","MULTI 12","MULTI 12 INJECTION"
"73287","02248913","PRO-PAROXETINE","PAROXETINE-10"
"73288","02248914","PRO-PAROXETINE","PAROXETINE-20"
"73289","02248915","PRO-PAROXETINE","PAROXETINE-30"
"79041","02305046","SPC-PANTOPRAZOLE","TARO-PANTOPRAZOLE"
"80096","02315424","TEVA-LEVOFLOXACIN","ACT LEVOFLOXACIN"
"80097","02315432","TEVA-LEVOFLOXACIN","ACT LEVOFLOXACIN"
"80098","02315440","TEVA-LEVOFLOXACIN","ACT LEVOFLOXACIN"
"90097","02416417","PRO-DONEPEZIL","DONEPEZIL"
"90098","02416425","PRO-DONEPEZIL","DONEPEZIL"
"93902","02452650","PRO-DULOXETINE","DULOXETINE"
"93903","02452669","PRO-DULOXETINE","DULOXETINE"
"99363","02504197","JAMP ATORVASTATIN TABLETS","JAMP ATORVASTATIN CALCIUM"
"99364","02504200","JAMP ATORVASTATIN TABLETS","JAMP ATORVASTATIN CALCIUM"
"99365","02504219","JAMP ATORVASTATIN TABLETS","JAMP ATORVASTATIN CALCIUM"
"99367","02504235","JAMP ATORVASTATIN TABLETS","JAMP ATORVASTATIN CALCIUM"
"97796","02487802","ZDS-LACOSAMIDE","MAR-LACOSAMIDE"
"97797","02487810","ZDS-LACOSAMIDE","MAR-LACOSAMIDE"
"97798","02487829","ZDS-LACOSAMIDE","MAR-LACOSAMIDE"
"97799","02487837","ZDS-LACOSAMIDE","MAR-LACOSAMIDE"
