drug_code,mp_code,mp_formal_name,mp_fr_description,changes
6422,00642223,APO PEN VK (penicillin V potassium 125 mg per 5 mL powder for oral solution) APOTEX INC,APO PEN VK (pénicilline V potassique 125 mg par 5 mL poudre pour solution orale) APOTEX INC,"mp_status_effective_time: ""20170804"" -> ""20241024"""
6423,00642231,APO PEN VK (penicillin V potassium 300 mg per 5 mL powder for oral solution) APOTEX INC,APO PEN VK (pénicilline V potassique 300 mg par 5 mL poudre pour solution orale) APOTEX INC,"mp_status_effective_time: ""20170804"" -> ""20241024"""
6753,00594636,STATEX TABLET 25MG (morphine sulfate 25 mg oral tablet) PALADIN PHARMA INC.,STATEX TABLET 25MG (sulfate de morphine 25 mg comprimé oral) PALADIN PHARMA INC.,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19851231"" -> ""20230220"""
9167,00755877,APO-PINDOL TAB 5MG (pindolol 5 mg oral tablet) APOTEX INC,APO-PINDOL TAB 5MG (pindolol 5 mg comprimé oral) APOTEX INC,"mp_status_effective_time: ""20220319"" -> ""20240721"""
9168,00755885,APO-PINDOL TAB 10MG (pindolol 10 mg oral tablet) APOTEX INC,APO-PINDOL TAB 10MG (pindolol 10 mg comprimé oral) APOTEX INC,"mp_status_effective_time: ""20220120"" -> ""20240721"""
9169,00755893,APO-PINDOL TAB 15MG (pindolol 15 mg oral tablet) APOTEX INC,APO-PINDOL TAB 15MG (pindolol 15 mg comprimé oral) APOTEX INC,"mp_status_effective_time: ""20230927"" -> ""20240721"""
11034,00895644,APO-DIPYRIDAMOLE (dipyridamole 25 mg oral tablet) APOTEX INC,APO-DIPYRIDAMOLE (dipyridamole 25 mg comprimé oral) APOTEX INC,"mp_status_effective_time: ""20210925"" -> ""20240731"""
11035,00895652,APO-DIPYRIDAMOLE (dipyridamole 50 mg oral tablet) APOTEX INC,APO-DIPYRIDAMOLE (dipyridamole 50 mg comprimé oral) APOTEX INC,"mp_status_effective_time: ""20210925"" -> ""20240721"""
11036,00895660,APO-DIPYRIDAMOLE (dipyridamole 75 mg oral tablet) APOTEX INC,APO-DIPYRIDAMOLE (dipyridamole 75 mg comprimé oral) APOTEX INC,"mp_status_effective_time: ""20210812"" -> ""20240721"""
11416,00886157,ZOVIRAX (acyclovir 200 mg per 5 mL oral suspension) GLAXOSMITHKLINE INC,ZOVIRAX (acyclovir 200 mg par 5 mL suspension orale) GLAXOSMITHKLINE INC,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19911231"" -> ""20240612"""
12601,01927817,ROVAMYCINE 500 CAPSULE 1500000 UNIT (spiramycin 1500000 unit oral capsule) ODAN LABORATORIES LTD,ROVAMYCINE 500 CAPSULE 1500000 UNIT (spiramycine 1500000 unité capsule orale) ODAN LABORATORIES LTD,"mp_status_effective_time: ""20230619"" -> ""20240620"""
12942,01934767,ROBAXACET-8 (acetaminophen 325 mg and codeine phosphate 8 mg and methocarbamol 400 mg oral tablet) HALEON CANADA ULC,ROBAXACET-8 (acétaminophène 325 mg et phosphate de codéine 8 mg et méthocarbamol 400 mg comprimé oral) HALEON CANADA ULC,"mp_formal_name: ""ROBAXACET-8 (acetaminophen 325 mg and codeine phosphate 8 mg and methocarbamol 400 mg oral tablet) G̲L̲A̲X̲O̲S̲M̲I̲T̲H̲K̲L̲I̲N̲E̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ULC"" -> ""ROBAXACET-8 (acetaminophen 325 mg and codeine phosphate 8 mg and methocarbamol 400 mg oral tablet) H̲A̲L̲E̲O̲N̲ ̲C̲A̲N̲A̲D̲A̲ ULC""
mp_fr_description: ""ROBAXACET-8 (acétaminophène 325 mg et phosphate de codéine 8 mg et méthocarbamol 400 mg comprimé oral) G̲L̲A̲X̲O̲S̲M̲I̲T̲H̲K̲L̲I̲N̲E̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ULC"" -> ""ROBAXACET-8 (acétaminophène 325 mg et phosphate de codéine 8 mg et méthocarbamol 400 mg comprimé oral) H̲A̲L̲E̲O̲N̲ ̲C̲A̲N̲A̲D̲A̲ ULC"""
13090,01927825,ROVAMYCINE 250 CAPSULE 750000 UNIT (spiramycin 750000 unit oral capsule) ODAN LABORATORIES LTD,ROVAMYCINE 250 CAPSULE 750000 UNIT (spiramycine 750000 unité capsule orale) ODAN LABORATORIES LTD,"mp_status_effective_time: ""20230619"" -> ""20230620"""
13297,01930990,ROBAXIN (methocarbamol 500 mg oral tablet) GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,ROBAXIN (méthocarbamol 500 mg comprimé oral) GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19581231"" -> ""20241106"""
13624,01932187,ROBAXIN 750 (methocarbamol 750 mg oral tablet) HALEON CANADA ULC,ROBAXIN 750 (méthocarbamol 750 mg comprimé oral) HALEON CANADA ULC,"mp_formal_name: ""ROBAXIN 750 (methocarbamol 750 mg oral tablet) G̲L̲A̲X̲O̲S̲M̲I̲T̲H̲K̲L̲I̲N̲E̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ULC"" -> ""ROBAXIN 750 (methocarbamol 750 mg oral tablet) H̲A̲L̲E̲O̲N̲ ̲C̲A̲N̲A̲D̲A̲ ULC""
mp_fr_description: ""ROBAXIN 750 (méthocarbamol 750 mg comprimé oral) G̲L̲A̲X̲O̲S̲M̲I̲T̲H̲K̲L̲I̲N̲E̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ULC"" -> ""ROBAXIN 750 (méthocarbamol 750 mg comprimé oral) H̲A̲L̲E̲O̲N̲ ̲C̲A̲N̲A̲D̲A̲ ULC"""
15210,01924567,DEXEDRINE SPANSULE (dextroamphetamine sulfate 15 mg prolonged-release oral capsule) ENDO OPERATIONS LTD.,DEXEDRINE SPANSULE (sulfate de dextroamphétamine 15 mg capsule orale à libération prolongée) ENDO OPERATIONS LTD.,"mp_formal_name: ""DEXEDRINE SPANSULE (dextroamphetamine sulfate 15 mg prolonged-release oral capsule) P̲A̲L̲A̲D̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲."" -> ""DEXEDRINE SPANSULE (dextroamphetamine sulfate 15 mg prolonged-release oral capsule) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲.""
mp_fr_description: ""DEXEDRINE SPANSULE (sulfate de dextroamphétamine 15 mg capsule orale à libération prolongée) P̲A̲L̲A̲D̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲."" -> ""DEXEDRINE SPANSULE (sulfate de dextroamphétamine 15 mg capsule orale à libération prolongée) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."""
15211,01924559,DEXEDRINE SPANSULE (dextroamphetamine sulfate 10 mg prolonged-release oral capsule) ENDO OPERATIONS LTD.,DEXEDRINE SPANSULE (sulfate de dextroamphétamine 10 mg capsule orale à libération prolongée) ENDO OPERATIONS LTD.,"mp_formal_name: ""DEXEDRINE SPANSULE (dextroamphetamine sulfate 10 mg prolonged-release oral capsule) P̲A̲L̲A̲D̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲."" -> ""DEXEDRINE SPANSULE (dextroamphetamine sulfate 10 mg prolonged-release oral capsule) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲.""
mp_fr_description: ""DEXEDRINE SPANSULE (sulfate de dextroamphétamine 10 mg capsule orale à libération prolongée) P̲A̲L̲A̲D̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲."" -> ""DEXEDRINE SPANSULE (sulfate de dextroamphétamine 10 mg capsule orale à libération prolongée) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."""
