drug_code,drug_identification_number,current_brand_name,previous_brand_name
"76338","02277778","MEDLINE REMEDY SIMPLIFIED PREVENT CRITIC-AID CLEAR","CRITIC-AID CLEAR"
"91765","02433257","MUCINEX CONGESTION & COUGH","MUCINEX MULTI-ACTION WET & DRY COUGH LIQUID"
"93504","02449226","JAMP BRIMONIDINE","JAMP-BRIMONIDINE"
"96884","02478110","EXTRA STRENGTH TYLENOL COLD & SINUS PLUS","EXTRA STRENGTH TYLENOL SINUS PRESSURE & PAIN"
"98513","02495198","CREST PRO-HEALTH NIGHTLY BACTERIA GUARD","CREST GUM CARE"
"104192","02552957","AURO-PAZOPANIB","EUGIA-PAZOPANIB"
"100015","02510871","CREST PRO-HEALTH GUM DETOXIFY","ORAL-B GUM THERAPY"
"87558","02390124","SPC-MINOCYCLINE","RAN-MINOCYCLINE"
"87559","02390132","SPC-MINOCYCLINE","RAN-MINOCYCLINE"
"93385","02448165","AURO-METHOTREXATE TABLETS","EUGIA-METHOTREXATE TABLETS"
"106387","02560852","CEPACOL INSTASOOTHE SORE THROAT RELIEF + SOOTHING COMFORT","CEPCAOL INSTASOOTHE SORE THROAT RELIEF + SOOTHING COMFORT"
