drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"84660","56","ORAL","ADDED","02361523"
"84659","56","ORAL","ADDED","02361515"
"84658","56","ORAL","ADDED","02361507"
"106706","70","TOPICAL","ADDED","02564351"
"99959","56","ORAL","ADDED","02510367"
"106772","56","ORAL","ADDED","02565080"
"106755","65","SUBCUTANEOUS","ADDED","02564890"
"106740","49","INTRAVENOUS","ADDED","02564734"
"106719","70","TOPICAL","ADDED","02564491"
"106736","65","SUBCUTANEOUS","ADDED","02564688"
"106712","56","ORAL","ADDED","02564424"
"106757","56","ORAL","ADDED","02564912"
"106725","56","ORAL","ADDED","02564564"
"102372","7","EPIDURAL","ADDED","02534827"
"106776","56","ORAL","ADDED","02565129"
"106728","3","BUCCAL","ADDED","02564599"
"106732","70","TOPICAL","ADDED","02564637"
"106733","70","TOPICAL","ADDED","02564645"
"99966","56","ORAL","ADDED","02510448"
"106708","22","INTRAMUSCULAR","ADDED","02564386"
"106754","49","INTRAVENOUS","ADDED","02564882"
"100015","3","BUCCAL","ADDED","02510871"
"106753","56","ORAL","ADDED","02564874"
"106773","49","INTRAVENOUS","ADDED","02565099"
"103677","7","EPIDURAL","ADDED","02547856"
"106707","22","INTRAMUSCULAR","ADDED","02564378"
"106796","56","ORAL","ADDED","02565358"
"106790","56","ORAL","ADDED","02565285"
"106694","56","ORAL","ADDED","02564238"
"106702","56","ORAL","ADDED","02564319"
"106777","56","ORAL","ADDED","02565137"
"106700","56","ORAL","ADDED","02564297"
"106718","65","SUBCUTANEOUS","ADDED","02564483"
"106705","70","TOPICAL","ADDED","02564343"
"106701","56","ORAL","ADDED","02564300"
"106349","56","ORAL","ADDED","02560429"
"103307","56","ORAL","ADDED","02544520"
"106793","56","ORAL","ADDED","02565315"
"106735","65","SUBCUTANEOUS","ADDED","02564661"
"106771","56","ORAL","ADDED","02565072"
"99960","56","ORAL","ADDED","02510375"
"106710","70","TOPICAL","ADDED","02564408"
"103194","56","ORAL","ADDED","02543486"
"106743","55","OPHTHALMIC","ADDED","02564769"
"99965","56","ORAL","ADDED","02510421"
"106730","49","INTRAVENOUS","ADDED","02564610"
"106711","70","TOPICAL","ADDED","02564416"
"106723","56","ORAL","ADDED","02564548"
"106766","65","SUBCUTANEOUS","ADDED","02565013"
"106792","56","ORAL","ADDED","02565307"
"106722","56","ORAL","ADDED","02564521"
"103306","56","ORAL","ADDED","02544512"
"106791","56","ORAL","ADDED","02565293"
"106720","56","ORAL","ADDED","02564505"
"106756","65","SUBCUTANEOUS","ADDED","02564904"
"106724","56","ORAL","ADDED","02564556"
"106716","49","INTRAVENOUS","ADDED","02564467"
"100015","5","DENTAL","REMOVED","02510871"
"106703","65","SUBCUTANEOUS","ADDED","02564327"
"106721","56","ORAL","ADDED","02564513"
"106739","56","ORAL","ADDED","02564726"
"106734","65","SUBCUTANEOUS","ADDED","02564653"
"106761","56","ORAL","ADDED","02564955"
"103195","56","ORAL","ADDED","02543494"
"106770","56","ORAL","ADDED","02565064"
"106769","56","ORAL","ADDED","02565056"
"106695","56","ORAL","ADDED","02564246"
"106758","56","ORAL","ADDED","02564920"
"106704","56","ORAL","ADDED","02564335"
"106737","49","INTRAVENOUS","ADDED","02564696"
"106767","65","SUBCUTANEOUS","ADDED","02565021"
