drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"12411","active","active","01944738","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"14017","active","active","01997572","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"14019","active","active","01997602","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"27903","active","active","02072955","SOLVENTUM CANADA LIMITED","3M HEALTHCARE CANADA COMPANY LIMITED"
"73230","active","active","02248858","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"76338","active","active","02277778","MEDLINE INDUSTRIES, LP","COLOPLAST A/S"
"76591","active","active","02280248","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"88319","active","active","02398257","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"88320","active","active","02398265","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"93975","active","active","02453215","KNIGHT THERAPEUTICS INC.","SUMITOMO PHARMA CANADA, INC."
"93976","active","active","02453223","KNIGHT THERAPEUTICS INC.","SUMITOMO PHARMA CANADA, INC."
"96884","active","active","02478110","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"104192","active","active","02552957","AURO PHARMA INC","EUGIA PHARMA INC."
"672","inactive","inactive","00075019","SANOFI VACCINES CANADA LTD.","SANOFI PASTEUR LIMITED"
"79244","dormant","dormant","02306743","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"79245","dormant","dormant","02306751","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"87558","approved","approved","02390124","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC."
"87559","approved","approved","02390132","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC."
"93385","approved","approved","02448165","AURO PHARMA INC","EUGIA PHARMA INC."
