drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"107246","70","TOPICAL","ADDED","02570300"
"107249","56","ORAL","ADDED","02570335"
"107163","70","TOPICAL","ADDED","02569388"
"107238","56","ORAL","ADDED","02570211"
"107187","56","ORAL","ADDED","02569647"
"107190","56","ORAL","ADDED","02569671"
"107197","56","ORAL","ADDED","02569760"
"107265","56","ORAL","ADDED","02570505"
"107240","56","ORAL","ADDED","02570246"
"107203","65","SUBCUTANEOUS","ADDED","02569825"
"107195","56","ORAL","ADDED","02569744"
"107179","56","ORAL","ADDED","02569566"
"107214","65","SUBCUTANEOUS","ADDED","02569949"
"107241","56","ORAL","ADDED","02570254"
"107199","65","SUBCUTANEOUS","ADDED","02569787"
"107217","56","ORAL","ADDED","02569973"
"107194","56","ORAL","ADDED","02569736"
"107232","56","ORAL","ADDED","02570149"
"107204","65","SUBCUTANEOUS","ADDED","02569833"
"107198","70","TOPICAL","ADDED","02569779"
"107178","56","ORAL","ADDED","02569558"
"107188","56","ORAL","ADDED","02569655"
"107254","56","ORAL","ADDED","02570394"
"107182","56","ORAL","ADDED","02569590"
"107234","56","ORAL","ADDED","02570165"
"107230","22","INTRAMUSCULAR","ADDED","02570122"
"107239","56","ORAL","ADDED","02570238"
"107233","56","ORAL","ADDED","02570157"
"107235","56","ORAL","ADDED","02570173"
"107185","56","ORAL","ADDED","02569620"
"107248","56","ORAL","ADDED","02570327"
"107200","65","SUBCUTANEOUS","ADDED","02569795"
"107264","56","ORAL","ADDED","02570491"
"107251","70","TOPICAL","ADDED","02570351"
"107207","56","ORAL","ADDED","02569876"
"107270","56","ORAL","ADDED","02570564"
"107231","56","ORAL","ADDED","02570130"
"107269","70","TOPICAL","ADDED","02570556"
"107189","56","ORAL","ADDED","02569663"
"107236","56","ORAL","ADDED","02570181"
"107256","56","ORAL","ADDED","02570416"
"107255","56","ORAL","ADDED","02570408"
"107252","56","ORAL","ADDED","02570378"
"107253","56","ORAL","ADDED","02570386"
"107191","56","ORAL","ADDED","02569698"
"107218","56","ORAL","ADDED","02569981"
"107201","56","ORAL","ADDED","02569809"
"107245","56","ORAL","ADDED","02570297"
"107213","65","SUBCUTANEOUS","ADDED","02569930"
"107224","55","OPHTHALMIC","ADDED","02570068"
"107247","70","TOPICAL","ADDED","02570319"
"107209","56","ORAL","ADDED","02569892"
"107244","56","ORAL","ADDED","02570289"
"107193","65","SUBCUTANEOUS","ADDED","02569728"
"107208","56","ORAL","ADDED","02569884"
"107228","56","ORAL","ADDED","02570106"
"107184","56","ORAL","ADDED","02569612"
"107206","56","ORAL","ADDED","02569868"
"107186","56","ORAL","ADDED","02569639"
"107202","56","ORAL","ADDED","02569817"
"107205","65","SUBCUTANEOUS","ADDED","02569841"
"107225","56","ORAL","ADDED","02570076"
