drug_code,drug_identification_number,current_brand_name,previous_brand_name
"74277","02257513","PRO-CITALOPRAM","CITALOPRAM - 20"
"74278","02257521","PRO-CITALOPRAM","CITALOPRAM - 40"
"79267","02306999","PRO-BISOPROLOL","PRO-BISOPROLOL - 5"
"79268","02307006","PRO-BISOPROLOL","PRO-BISOPROLOL - 10"
"79921","02313707","SPC-ATORVASTATIN","TARO-ATORVASTATIN"
"79922","02313715","SPC-ATORVASTATIN","TARO-ATORVASTATIN"
"79923","02313723","SPC-ATORVASTATIN","TARO-ATORVASTATIN"
"79925","02313758","SPC-ATORVASTATIN","TARO-ATORVASTATIN"
"81046","02325047","PRO-CITALOPRAM","CITALOPRAM - 10"
"82774","02342235","VTRS-ELETRIPTAN","MYLAN-ELETRIPTAN"
"82775","02342243","VTRS-ELETRIPTAN","MYLAN-ELETRIPTAN"
"85004","02365197","PRO-IRBESARTAN","IRBESARTAN"
"85005","02365200","PRO-IRBESARTAN","IRBESARTAN"
"85006","02365219","PRO-IRBESARTAN","IRBESARTAN"
"88191","02396904","PRO-ATOMOXETINE","ATOMOXETINE"
"88192","02396912","PRO-ATOMOXETINE","ATOMOXETINE"
"88193","02396920","PRO-ATOMOXETINE","ATOMOXETINE"
"88194","02396939","PRO-ATOMOXETINE","ATOMOXETINE"
"88195","02396947","PRO-ATOMOXETINE","ATOMOXETINE"
"89149","02406810","SPC-IRBESARTAN","TARO-IRBESARTAN"
"89150","02406829","SPC-IRBESARTAN","TARO-IRBESARTAN"
"89151","02406837","SPC-IRBESARTAN","TARO-IRBESARTAN"
"95692","02468492","ALTA-ZOPICLONE","ZOPICLONE"
"95781","02469154","ALTA-ZOPICLONE","ZOPICLONE"
"94083","02454319","JAMP RISPERIDONE","JAMP-RISPERIDONE"
