drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
"97647","150","TABLET (IMMEDIATE RELEASE)","REMOVED","02486245"
"100497","137","CAPSULE (DELAYED-RELEASE)","ADDED","02515563"
"75943","141","CAPSULE (EXTENDED-RELEASE)","ADDED","02273977"
"75715","141","CAPSULE (EXTENDED RELEASE)","REMOVED","02271605"
"60603","141","CAPSULE (EXTENDED-RELEASE)","ADDED","02237282"
"75214","141","CAPSULE (EXTENDED RELEASE)","REMOVED","02266725"
"106777","132","TABLET (ORALLY DISINTEGRATING)","REMOVED","02565137"
"83022","141","CAPSULE (EXTENDED-RELEASE)","ADDED","02344742"
"42902","1","METERED-DOSE AEROSOL","REMOVED","02188783"
"78468","141","CAPSULE (EXTENDED RELEASE)","REMOVED","02299291"
"82431","132","TABLET (ORALLY DISINTEGRATING)","REMOVED","02338645"
"100051","132","TABLET (ORALLY-DISINTEGRATING)","ADDED","02511290"
"98919","172","CAPSULE (IMMEDIATE- AND DELAYED-RELEASE)","ADDED","02499452"
"95345","167","FILM (SOLUBLE)","ADDED","02465256"
"83808","132","TABLET (ORALLY DISINTEGRATING)","REMOVED","02352842"
"77644","141","CAPSULE (EXTENDED-RELEASE)","ADDED","02291045"
"15572","160","PATCH (EXTENDED RELEASE)","REMOVED","02046156"
"93261","137","CAPSULE (DELAYED-RELEASE)","ADDED","02447037"
"100305","132","TABLET (ORALLY DISINTEGRATING)","REMOVED","02513854"
"82358","132","TABLET (ORALLY DISINTEGRATING)","REMOVED","02337932"
"97214","137","CAPSULE (DELAYED-RELEASE)","ADDED","02481960"
"66954","132","TABLET (ORALLY-DISINTEGRATING)","ADDED","02243087"
"93924","141","CAPSULE (EXTENDED-RELEASE)","ADDED","02452839"
"81738","141","CAPSULE (EXTENDED-RELEASE)","ADDED","02331683"
"93420","132","TABLET (ORALLY-DISINTEGRATING)","ADDED","02448505"
"100050","132","TABLET (ORALLY-DISINTEGRATING)","ADDED","02511282"
"84560","132","TABLET (ORALLY-DISINTEGRATING)","ADDED","02360632"
"106259","141","CAPSULE (EXTENDED-RELEASE)","ADDED","02559439"
"92157","118","POWDER FOR SUSPENSION (SUSTAINED-RELEASE","ADDED","02437260"
"92473","141","CAPSULE (EXTENDED RELEASE)","REMOVED","02440369"
"86505","137","CAPSULE (DELAYED-RELEASE)","ADDED","02379163"
"98637","137","CAPSULE (DELAYED-RELEASE)","ADDED","02496518"
"63321","118","POWDER FOR SUSPENSION (SUSTAINED-RELEASE","ADDED","02239834"
"81180","162","AEROSOL (METERED-DOSE)","ADDED","02326450"
"101822","137","CAPSULE (DELAYED-RELEASE)","ADDED","02529025"
"77109","162","AEROSOL (METERED-DOSE)","ADDED","02285592"
"88467","150","TABLET (IMMEDIATE-RELEASE)","ADDED","02399822"
"106262","141","CAPSULE (EXTENDED RELEASE)","REMOVED","02559463"
"71971","132","TABLET (ORALLY-DISINTEGRATING)","ADDED","02247704"
"93733","137","CAPSULE (DELAYED-RELEASE)","ADDED","02451085"
"101781","141","CAPSULE (EXTENDED RELEASE)","REMOVED","02528606"
"95621","153","POWDER (METERED-DOSE)","ADDED","02467895"
"95621","153","POWDER (METERED DOSE)","REMOVED","02467895"
"86005","132","TABLET (ORALLY DISINTEGRATING)","REMOVED","02374730"
"67244","141","CAPSULE (EXTENDED-RELEASE)","ADDED","02243339"
"82540","132","TABLET (ORALLY-DISINTEGRATING)","ADDED","02339838"
"86281","173","TABLET (IMMEDIATE- AND EXTENDED-RELEASE)","ADDED","02377195"
"102569","141","CAPSULE (EXTENDED RELEASE)","REMOVED","02536978"
"92093","132","TABLET (ORALLY DISINTEGRATING)","REMOVED","02436604"
"99190","167","FILM (SOLUBLE)","ADDED","02502321"
"100498","137","CAPSULE (DELAYED-RELEASE)","ADDED","02515571"
"77645","141","CAPSULE (EXTENDED RELEASE)","REMOVED","02291053"
"88470","150","TABLET (IMMEDIATE RELEASE)","REMOVED","02399857"
"92876","141","CAPSULE (EXTENDED RELEASE)","REMOVED","02443961"
"90117","141","CAPSULE (EXTENDED RELEASE)","REMOVED","02416573"
"94522","158","SPRAY, METERED DOSE","REMOVED","02458179"
"100630","150","TABLET (IMMEDIATE RELEASE)","REMOVED","02516969"
"11227","160","PATCH (EXTENDED RELEASE)","REMOVED","01911910"
"82804","132","TABLET (ORALLY DISINTEGRATING)","REMOVED","02342553"
"68600","141","CAPSULE (EXTENDED-RELEASE)","ADDED","02244613"
"107208","5","CAPSULE","ADDED","02569884"
"104461","155","SOLUTION (EXTENDED RELEASE)","REMOVED","02555883"
"97783","132","TABLET (ORALLY DISINTEGRATING)","REMOVED","02487683"
"92701","132","TABLET (ORALLY-DISINTEGRATING)","ADDED","02442671"
"63341","173","TABLET (IMMEDIATE- AND EXTENDED-RELEASE)","ADDED","02239853"
"91297","158","SPRAY, METERED DOSE","REMOVED","02428504"
"77920","137","CAPSULE (DELAYED-RELEASE)","ADDED","02293838"
"77978","132","TABLET (ORALLY DISINTEGRATING)","REMOVED","02294435"
"91490","132","TABLET (ORALLY-DISINTEGRATING)","ADDED","02430444"
"14543","141","CAPSULE (EXTENDED RELEASE)","REMOVED","02019930"
"94019","137","CAPSULE (DELAYED RELEASE)","REMOVED","02453630"
"95355","141","CAPSULE (EXTENDED-RELEASE)","ADDED","02465353"
"72577","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","REMOVED","02248240"
"93082","141","CAPSULE (EXTENDED RELEASE)","REMOVED","02445549"
"84676","170","TABLET (IMMEDIATE AND DELAYED-RELEASE)","REMOVED","02361701"
"75716","141","CAPSULE (EXTENDED RELEASE)","REMOVED","02271613"
