drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"107015","22","INTRAMUSCULAR","ADDED","02567776"
"107054","49","INTRAVENOUS","ADDED","02568209"
"106609","56","ORAL","ADDED","02563290"
"107017","22","INTRAMUSCULAR","ADDED","02567792"
"107048","65","SUBCUTANEOUS","ADDED","02568144"
"13476","121","INTRADETRUSORIAL","ADDED","01981501"
"107063","49","INTRAVENOUS","ADDED","02568306"
"107093","56","ORAL","ADDED","02568632"
"107040","56","ORAL","ADDED","02568047"
"107081","1","BLOCK/INFILTRATION","ADDED","02568500"
"107082","7","EPIDURAL","ADDED","02568519"
"102920","49","INTRAVENOUS","ADDED","02540509"
"107089","56","ORAL","ADDED","02568594"
"107082","1","BLOCK/INFILTRATION","ADDED","02568519"
"107088","56","ORAL","ADDED","02568586"
"107039","56","ORAL","ADDED","02568039"
"107044","70","TOPICAL","ADDED","02568098"
"107042","56","ORAL","ADDED","02568063"
"102070","19","INTRADERMAL","ADDED","02531585"
"107047","49","INTRAVENOUS","ADDED","02568136"
"107053","49","INTRAVENOUS","ADDED","02568195"
"107076","70","TOPICAL","ADDED","02568454"
"107058","65","SUBCUTANEOUS","ADDED","02568241"
"107071","70","TOPICAL","ADDED","02568381"
"107047","65","SUBCUTANEOUS","ADDED","02568136"
"107056","49","INTRAVENOUS","ADDED","02568225"
"107057","65","SUBCUTANEOUS","ADDED","02568233"
"107064","56","ORAL","ADDED","02568314"
"107054","22","INTRAMUSCULAR","ADDED","02568209"
"107043","56","ORAL","ADDED","02568071"
"107046","56","ORAL","ADDED","02568128"
"107051","49","INTRAVENOUS","ADDED","02568179"
"102069","19","INTRADERMAL","ADDED","02531577"
"102069","121","INTRADETRUSORIAL","ADDED","02531577"
"107055","49","INTRAVENOUS","ADDED","02568217"
"107055","22","INTRAMUSCULAR","ADDED","02568217"
"106969","65","SUBCUTANEOUS","ADDED","02567253"
"107041","56","ORAL","ADDED","02568055"
"107048","49","INTRAVENOUS","ADDED","02568144"
"107050","70","TOPICAL","ADDED","02568160"
"107081","7","EPIDURAL","ADDED","02568500"
"107094","56","ORAL","ADDED","02568640"
"107016","22","INTRAMUSCULAR","ADDED","02567784"
"107065","56","ORAL","ADDED","02568322"
"107070","56","ORAL","ADDED","02568373"
"107041","3","BUCCAL","ADDED","02568055"
"13476","19","INTRADERMAL","ADDED","01981501"
"107095","56","ORAL","ADDED","02568659"
"106970","65","SUBCUTANEOUS","ADDED","02567261"
"107056","22","INTRAMUSCULAR","ADDED","02568225"
"107049","70","TOPICAL","ADDED","02568152"
"102070","121","INTRADETRUSORIAL","ADDED","02531585"
"107096","56","ORAL","ADDED","02568667"
"107069","22","INTRAMUSCULAR","ADDED","02568365"
