drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"3883","active","active","00509558","VIATRIS SPECIALTY LLC","MYLAN SPECIALTY LP"
"5970","active","active","00578657","VIATRIS SPECIALTY LLC","MYLAN SPECIALTY LP"
"12926","active","active","01944363","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"13063","active","active","00498335","JUNO PHARMA CANADA INC.","OMEGA LABORATORIES LIMITED"
"37038","active","active","02215268","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"65897","active","active","02242217","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"73592","active","active","02250993","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"74230","active","active","02257084","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"78954","active","active","02304252","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"90967","active","active","02425009","SENADOR LABORATORIES PRIVATE LIMITED ","MYLAN PHARMACEUTICALS ULC"
"92774","active","active","02443163","MEDLINE INDUSTRIES, LP","CANADIAN CUSTOM PACKAGING COMPANY"
"95863","active","active","02469774","JUNO PHARMA CANADA INC.","JUNO PHARMACEUTICALS CORP."
"96432","active","active","02474271","JUNO PHARMA CANADA INC.","JUNO PHARMACEUTICALS CORP."
"97107","active","active","02480522","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"99582","active","active","02506459","JUNO PHARMA CANADA INC.","JUNO PHARMACEUTICALS CORP."
"99583","active","active","02506467","JUNO PHARMA CANADA INC.","JUNO PHARMACEUTICALS CORP."
"99584","active","active","02506475","JUNO PHARMA CANADA INC.","JUNO PHARMACEUTICALS CORP."
"99585","active","active","02506483","JUNO PHARMA CANADA INC.","JUNO PHARMACEUTICALS CORP."
"99586","active","active","02506491","JUNO PHARMA CANADA INC.","JUNO PHARMACEUTICALS CORP."
