drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"6754","active","active","00594644","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"6755","active","active","00594652","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"13782","active","active","02017849","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"15516","active","active","02019736","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"15880","active","active","02019698","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"19460","active","active","02086026","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"19585","active","active","02186934","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"41477","active","active","00373435","RECKITT BENCKISER (CANADA) INC","RB HEALTH (CANADA) INC."
"43369","active","active","02223546","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"43370","active","active","02223554","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"49614","active","active","02230542","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"51375","active","active","02231923","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"59870","active","active","02236396","KENVUE CANADA INC.","JOHNSON & JOHNSON INC"
"60248","active","active","02236954","KENVUE CANADA INC.","JOHNSON & JOHNSON INC"
"61744","active","active","02238337","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"63620","active","active","02240105","KENVUE CANADA INC.","JOHNSON & JOHNSON INC"
"65010","active","active","02241377","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"66413","active","active","02242632","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
