drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"88787","55","OPHTHALMIC","ADDED","02403013"
"106888","56","ORAL","ADDED","02566370"
"106910","56","ORAL","ADDED","02566605"
"106885","65","SUBCUTANEOUS","ADDED","02566346"
"106891","56","ORAL","ADDED","02566400"
"106938","56","ORAL","ADDED","02566915"
"106932","56","ORAL","ADDED","02566850"
"106930","56","ORAL","ADDED","02566834"
"106920","49","INTRAVENOUS","ADDED","02566710"
"106929","56","ORAL","ADDED","02566826"
"106886","56","ORAL","ADDED","02566354"
"106851","65","SUBCUTANEOUS","ADDED","02565951"
"106914","56","ORAL","ADDED","02566656"
"106928","56","ORAL","ADDED","02566818"
"106926","56","ORAL","ADDED","02566788"
"106885","34","INTRAPLEURAL","ADDED","02566346"
"106895","56","ORAL","ADDED","02566443"
"106899","56","ORAL","ADDED","02566494"
"106927","56","ORAL","ADDED","02566796"
"106937","56","ORAL","ADDED","02566907"
"106885","49","INTRAVENOUS","ADDED","02566346"
"106931","56","ORAL","ADDED","02566842"
"91017","55","OPHTHALMIC","ADDED","02425521"
"106897","65","SUBCUTANEOUS","ADDED","02566478"
"106884","65","SUBCUTANEOUS","ADDED","02566338"
"106816","56","ORAL","ADDED","02565579"
"106911","53","NASAL","ADDED","02566613"
"106936","56","ORAL","ADDED","02566893"
"106893","56","ORAL","ADDED","02566427"
"106835","55","OPHTHALMIC","ADDED","02565773"
"106904","65","SUBCUTANEOUS","ADDED","02566540"
"106935","56","ORAL","ADDED","02566885"
"106709","65","SUBCUTANEOUS","ADDED","02564394"
"106850","65","SUBCUTANEOUS","ADDED","02565943"
"106913","55","OPHTHALMIC","ADDED","02566648"
"106620","55","OPHTHALMIC","ADDED","02563428"
"106878","65","SUBCUTANEOUS","ADDED","02566257"
"106889","56","ORAL","ADDED","02566389"
"106903","65","SUBCUTANEOUS","ADDED","02566532"
"106885","22","INTRAMUSCULAR","ADDED","02566346"
"106881","56","ORAL","ADDED","02566281"
"106890","56","ORAL","ADDED","02566397"
"106880","65","SUBCUTANEOUS","ADDED","02566273"
"106750","56","ORAL","ADDED","02564831"
"106900","56","ORAL","ADDED","02566508"
"106916","57","OTIC","ADDED","02566672"
"106836","49","INTRAVENOUS","ADDED","02565781"
"106892","56","ORAL","ADDED","02566419"
"106751","56","ORAL","ADDED","02564858"
"106933","56","ORAL","ADDED","02566869"
"106919","49","INTRAVENOUS","ADDED","02566702"
"106901","56","ORAL","ADDED","02566516"
"101882","55","OPHTHALMIC","ADDED","02529580"
"106894","70","TOPICAL","ADDED","02566435"
"106752","56","ORAL","ADDED","02564866"
"106934","65","SUBCUTANEOUS","ADDED","02566877"
"106882","56","ORAL","ADDED","02566303"
"106887","56","ORAL","ADDED","02566362"
"106879","65","SUBCUTANEOUS","ADDED","02566265"
"106883","56","ORAL","ADDED","02566311"
