drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
"106928","85","TABLET","ADDED","02566818"
"106929","85","TABLET","ADDED","02566826"
"106911","158","SPRAY, METERED DOSE","ADDED","02566613"
"106899","85","TABLET","ADDED","02566494"
"106933","85","TABLET","ADDED","02566869"
"106938","85","TABLET","ADDED","02566915"
"106897","134","SOLUTION","ADDED","02566478"
"106891","85","TABLET","ADDED","02566400"
"106936","85","TABLET","ADDED","02566893"
"106910","85","TABLET","ADDED","02566605"
"106850","134","SOLUTION","ADDED","02565943"
"106919","56","POWDER FOR SOLUTION","ADDED","02566702"
"106836","134","SOLUTION","ADDED","02565781"
"106879","134","SOLUTION","ADDED","02566265"
"106709","134","SOLUTION","ADDED","02564394"
"106889","85","TABLET","ADDED","02566389"
"106835","134","SOLUTION","ADDED","02565773"
"106885","56","POWDER FOR SOLUTION","ADDED","02566346"
"106751","141","CAPSULE (EXTENDED RELEASE)","ADDED","02564858"
"106900","85","TABLET","ADDED","02566508"
"106880","134","SOLUTION","ADDED","02566273"
"106934","134","SOLUTION","ADDED","02566877"
"106881","85","TABLET","ADDED","02566281"
"106886","134","SOLUTION","ADDED","02566354"
"106903","134","SOLUTION","ADDED","02566532"
"106884","134","SOLUTION","ADDED","02566338"
"106620","134","SOLUTION","ADDED","02563428"
"106927","85","TABLET","ADDED","02566796"
"106926","134","SOLUTION","ADDED","02566788"
"91017","134","SOLUTION","ADDED","02425521"
"106816","85","TABLET","ADDED","02565579"
"106901","85","TABLET","ADDED","02566516"
"106930","85","TABLET","ADDED","02566834"
"106913","79","SUSPENSION","ADDED","02566648"
"106916","79","SUSPENSION","ADDED","02566672"
"106937","85","TABLET","ADDED","02566907"
"106893","85","TABLET","ADDED","02566427"
"106935","85","TABLET","ADDED","02566885"
"106920","56","POWDER FOR SOLUTION","ADDED","02566710"
"106750","141","CAPSULE (EXTENDED RELEASE)","ADDED","02564831"
"88787","134","SOLUTION","ADDED","02403013"
"106894","9","CREAM","ADDED","02566435"
"106878","134","SOLUTION","ADDED","02566257"
"106883","85","TABLET","ADDED","02566311"
"106892","85","TABLET","ADDED","02566419"
"101882","134","SOLUTION","ADDED","02529580"
"106887","85","TABLET","ADDED","02566362"
"106904","134","SOLUTION","ADDED","02566540"
"106932","85","TABLET","ADDED","02566850"
"106895","85","TABLET","ADDED","02566443"
"106752","141","CAPSULE (EXTENDED RELEASE)","ADDED","02564866"
"106931","85","TABLET","ADDED","02566842"
"106914","85","TABLET","ADDED","02566656"
"106888","85","TABLET","ADDED","02566370"
"106882","85","TABLET","ADDED","02566303"
"106890","85","TABLET","ADDED","02566397"
"106851","134","SOLUTION","ADDED","02565951"
