drug_code,drug_identification_number,current_brand_name,previous_brand_name
"64918","02241302","PRO-SERTRALINE","SERTRALINE-25"
"64919","02241303","PRO-SERTRALINE","SERTRALINE-50"
"64920","02241304","PRO-SERTRALINE","SERTRALINE-100"
"67909","02243966","MEDLINE REMEDY ESSENTIALS CLEANSE BAZA CLEANSE & PROTECT","BAZA CLEANSE & PROTECT"
"79663","02311038","PRO-BICALUTAMIDE","PRO-BICALUTAMIDE - 50"
"85001","02365162","PRO-IRBESARTAN-HCTZ","IRBESARTAN-HCTZ"
"85002","02365170","PRO-IRBESARTAN-HCTZ","IRBESARTAN-HCTZ"
"85003","02365189","PRO-IRBESARTAN-HCTZ","IRBESARTAN-HCTZ"
"87111","02385481","SPC-ESCITALOPRAM","TARO-ESCITALOPRAM"
"87112","02385503","SPC-ESCITALOPRAM","TARO-ESCITALOPRAM"
"88890","02404125","SOLUPREP SPONGE","3M SOLUPREP SPONGE"
"90416","02419548","SPC-EZETIMIBE","TARO-EZETIMIBE"
"90922","02424533","JAMP CELECOXIB","JAMP-CELECOXIB"
"90923","02424541","JAMP CELECOXIB","JAMP-CELECOXIB"
"99542","02506076","AG-ATORVASTATIN","ATORVASTATIN"
"99543","02506084","AG-ATORVASTATIN","ATORVASTATIN"
"99544","02506092","AG-ATORVASTATIN","ATORVASTATIN"
"99545","02506106","AG-ATORVASTATIN","ATORVASTATIN"
