drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
"107261","56","POWDER FOR SOLUTION","ADDED","02570467"
"107318","85","TABLET","ADDED","02571099"
"107303","134","SOLUTION","ADDED","02570920"
"107263","109","TABLET (DELAYED-RELEASE)","ADDED","02570483"
"107274","85","TABLET","ADDED","02570602"
"107220","134","SOLUTION","ADDED","02570017"
"107307","134","SOLUTION","ADDED","02570963"
"107327","59","SHAMPOO","ADDED","02571196"
"106431","182","MOUTHWASH","ADDED","02561344"
"107271","85","TABLET","ADDED","02570572"
"107285","85","TABLET","ADDED","02570734"
"107276","85","TABLET","ADDED","02570629"
"107282","85","TABLET","ADDED","02570696"
"107305","141","CAPSULE (EXTENDED-RELEASE)","ADDED","02570947"
"107278","85","TABLET","ADDED","02570645"
"106431","42","MOUTHWASH/GARGLE","REMOVED","02561344"
"107222","134","SOLUTION","ADDED","02570033"
"107308","134","SOLUTION","ADDED","02570971"
"107320","5","CAPSULE","ADDED","02571110"
"104007","85","TABLET","ADDED","02551349"
"107266","9","CREAM","ADDED","02570513"
"107221","134","SOLUTION","ADDED","02570025"
"107260","56","POWDER FOR SOLUTION","ADDED","02570459"
"107277","85","TABLET","ADDED","02570637"
"107309","134","SOLUTION","ADDED","02570998"
"107317","85","TABLET","ADDED","02571080"
"107310","134","SOLUTION","ADDED","02571005"
"3594","134","SOLUTION","ADDED","00415219"
"107321","114","GEL","ADDED","02571129"
"107262","56","POWDER FOR SOLUTION","ADDED","02570475"
"106775","85","TABLET","ADDED","02565110"
"10526","34","LIQUID","REMOVED","00453811"
"107280","36","LOTION","ADDED","02570661"
"107295","5","CAPSULE","ADDED","02570831"
"107296","19","EMULSION","ADDED","02570858"
"107304","141","CAPSULE (EXTENDED-RELEASE)","ADDED","02570939"
"107319","126","POWDER FOR SUSPENSION","ADDED","02571102"
"10526","134","SOLUTION","ADDED","00453811"
"106774","85","TABLET","ADDED","02565102"
"107267","85","TABLET","ADDED","02570521"
"107297","36","LOTION","ADDED","02570866"
"107302","134","SOLUTION","ADDED","02570912"
"107316","85","TABLET","ADDED","02571072"
"107292","5","CAPSULE","ADDED","02570807"
"107306","141","CAPSULE (EXTENDED-RELEASE)","ADDED","02570955"
"107135","56","POWDER FOR SOLUTION","ADDED","02569086"
"107311","59","SHAMPOO","ADDED","02571013"
"107298","134","SOLUTION","ADDED","02570874"
"107286","75","TABLET (EXTENDED-RELEASE)","ADDED","02570742"
"107291","9","CREAM","ADDED","02570793"
"107287","134","SOLUTION","ADDED","02570750"
"107289","154","VAGINAL TABLET","ADDED","02570777"
"107294","59","SHAMPOO","ADDED","02570823"
"107301","134","SOLUTION","ADDED","02570904"
"107281","85","TABLET","ADDED","02570688"
"107290","85","TABLET","ADDED","02570785"
"107288","134","SOLUTION","ADDED","02570769"
"104006","85","TABLET","ADDED","02551330"
"107315","9","CREAM","ADDED","02571064"
"88276","85","TABLET","REMOVED","02397854"
"107219","134","SOLUTION","ADDED","02570009"
"107275","85","TABLET","ADDED","02570610"
"107300","134","SOLUTION","ADDED","02570890"
"107283","85","TABLET","ADDED","02570718"
"107135","126","POWDER FOR SUSPENSION","REMOVED","02569086"
"88276","109","TABLET (DELAYED-RELEASE)","ADDED","02397854"
"107312","85","TABLET","ADDED","02571021"
"107284","85","TABLET","ADDED","02570726"
"107223","134","SOLUTION","ADDED","02570041"
"3594","34","LIQUID","REMOVED","00415219"
