drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"107281","56","ORAL","ADDED","02570688"
"107290","56","ORAL","ADDED","02570785"
"107297","70","TOPICAL","ADDED","02570866"
"107317","56","ORAL","ADDED","02571080"
"107284","56","ORAL","ADDED","02570726"
"107320","56","ORAL","ADDED","02571110"
"107321","70","TOPICAL","ADDED","02571129"
"107276","56","ORAL","ADDED","02570629"
"107271","56","ORAL","ADDED","02570572"
"107302","65","SUBCUTANEOUS","ADDED","02570912"
"107219","65","SUBCUTANEOUS","ADDED","02570009"
"107267","56","ORAL","ADDED","02570521"
"107283","56","ORAL","ADDED","02570718"
"106774","56","ORAL","ADDED","02565102"
"107282","56","ORAL","ADDED","02570696"
"107223","65","SUBCUTANEOUS","ADDED","02570041"
"107310","70","TOPICAL","ADDED","02571005"
"107275","56","ORAL","ADDED","02570610"
"107287","65","SUBCUTANEOUS","ADDED","02570750"
"106775","56","ORAL","ADDED","02565110"
"107295","56","ORAL","ADDED","02570831"
"107266","70","TOPICAL","ADDED","02570513"
"107294","70","TOPICAL","ADDED","02570823"
"107312","56","ORAL","ADDED","02571021"
"107301","55","OPHTHALMIC","ADDED","02570904"
"107278","56","ORAL","ADDED","02570645"
"107260","49","INTRAVENOUS","ADDED","02570459"
"107298","70","TOPICAL","ADDED","02570874"
"107222","65","SUBCUTANEOUS","ADDED","02570033"
"107289","74","VAGINAL","ADDED","02570777"
"107286","56","ORAL","ADDED","02570742"
"107291","70","TOPICAL","ADDED","02570793"
"107318","56","ORAL","ADDED","02571099"
"107305","56","ORAL","ADDED","02570947"
"107308","70","TOPICAL","ADDED","02570971"
"107292","56","ORAL","ADDED","02570807"
"107285","56","ORAL","ADDED","02570734"
"107296","70","TOPICAL","ADDED","02570858"
"107261","49","INTRAVENOUS","ADDED","02570467"
"107315","70","TOPICAL","ADDED","02571064"
"107220","65","SUBCUTANEOUS","ADDED","02570017"
"107303","65","SUBCUTANEOUS","ADDED","02570920"
"107221","65","SUBCUTANEOUS","ADDED","02570025"
"104007","56","ORAL","ADDED","02551349"
"107316","56","ORAL","ADDED","02571072"
"107280","70","TOPICAL","ADDED","02570661"
"107319","65","SUBCUTANEOUS","ADDED","02571102"
"107309","70","TOPICAL","ADDED","02570998"
"107327","70","TOPICAL","ADDED","02571196"
"107263","56","ORAL","ADDED","02570483"
"107288","55","OPHTHALMIC","ADDED","02570769"
"107311","70","TOPICAL","ADDED","02571013"
"107304","56","ORAL","ADDED","02570939"
"107306","56","ORAL","ADDED","02570955"
"104006","56","ORAL","ADDED","02551330"
"107277","56","ORAL","ADDED","02570637"
"107300","65","SUBCUTANEOUS","ADDED","02570890"
"107274","56","ORAL","ADDED","02570602"
"107307","49","INTRAVENOUS","ADDED","02570963"
"107262","49","INTRAVENOUS","ADDED","02570475"
